particulars_1,particulars_2,appropriation,obligation,balance_appropriation_or_allotment
"Purchase, Construction and Improvement of Government Facilities","Education, Culture, Sports, and Manpower Development",40112622,-,40112622
Health Development Project,Health Development Project,12512500,5953428.41,6559071.59
Health Development Project,"Construction of Health and Livelihood Center Barangay Hall Compound, Cogeo Village, Barangay Bagong Nayon",-,5953428.41,-
"Purchase, Construction and Improvement of Government Facilities",Housing and Community Development,95887378,45957930.61,49929447.39
"Purchase, Construction and Improvement of Government Facilities","Installation of Ornament Streetlights, Purok Silangan Road, Sitio PLDT, Barangay Inarawan",-,490686.64,-
"Purchase, Construction and Improvement of Government Facilities","Installation of Ornament Streetlights, Don Vicente Avenue cor. Marcos Highway, Barangay Cupang",-,234473.4,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Footbridges, Blk.14, Bagong Ngayon II, Barangay San Isidro",-,330138.44,-
"Purchase, Construction and Improvement of Government Facilities","Proposed Ripraping, Purok Sumulong, Bagong Ngayon, Barangay Dela Lapaz",-,307413.01,-
"Purchase, Construction and Improvement of Government Facilities","Construction and Rehabilitation of Monuments, City Hall Grounds and Sumulong Park, Barnangay San Roque",-,300356.73,-
"Purchase, Construction and Improvement of Government Facilities","Rehabilitation of Stone Masonry, Sitio Labangan, Barangay Mambugan",-,287775.98,-
"Purchase, Construction and Improvement of Government Facilities","Erection/Fabrication od Steel Water Tank Ondoy Village, So. Sumilang, Barangay San Jose",-,506685.35,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Deepwell (3 Units) Sitio Oreta (Kasuyan), Barangay San Isidro",-,620308.07,-
"Purchase, Construction and Improvement of Government Facilities","Rehabilitation of Riprap with Creekbed Protection Peace Village, Phase II, Barangay San Luis",-,494435.27,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Darainage System Sitio Oreta (Kasuyan), Barangay Cupang",-,3469716.75,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Hanging Bridge Purok 5, Zone 7B, Barangay Cupang",-,1472387.95,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Covered Court (10.0m x 123.0m) Baybay Sapa, Barangay Mayamot",-,1884470.91,-
"Purchase, Construction and Improvement of Government Facilities",Repair and Upgrading of Water Sytem Sitio Cabisig Water System,-,994101.71,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Drainage System Green Forest, Sitio Broadway, Barangay Dela Paz",-,1470829.43,-
"Purchase, Construction and Improvement of Government Facilities","Land Development Works Proposed City Auditorium, Sen. Lorenzo Sumulong Mem. Circ. Barangay San Isidro",-,6925396.11,-
"Purchase, Construction and Improvement of Government Facilities","Concreting of Road with Drainage System Sitio San Lorenzo, Barangay San Roque",-,1923094.04,-
"Purchase, Construction and Improvement of Government Facilities","Concreting of Road with Drainage System Sitio Kaila, Barangay San Roque",-,2603945.74,-
"Purchase, Construction and Improvement of Government Facilities","Concreting of Road with Drainage System Road Lot 1, Everlasting Subdivision Penafransia Hills, Barangay Mayamot",-,1614315.11,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Slope Protection Sitio Lower Sto. Nino, Barangay Sta. Cruz",-,3689659.17,-
"Purchase, Construction and Improvement of Government Facilities","Concreting of Road Villa Cecilia Subdivision, Barangay Mambugan",-,963026.46,-
"Purchase, Construction and Improvement of Government Facilities","Rehabilitation of Road Natalia Avenue, Barangay San Luis",-,4558136.49,-
"Purchase, Construction and Improvement of Government Facilities","Concreting of Road with Drainage System Sitio Kamatisan, Barangay Dalig",-,2461201.24,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Dainage System Jade Lane, Cristimar Village, Barangay San roque",-,1385438.18,-
"Purchase, Construction and Improvement of Government Facilities","Rehabilitation of Road Violeta and Milflores (Portion) Street, Antipolo Valley Subdivision, Barangay Mambugan",-,1959890.43,-
"Purchase, Construction and Improvement of Government Facilities","Concreting of Road Phase II, Sitio Tanza II, Barangay San Jose",-,1341194.46,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Covered Court (15.0m x 24.0m) Good Shepherd Ville, So. Dalig III, Barangay Dalig",-,3768846.54,-
Agriculture Development Project,Agriculture Development Project,14650000,5508775.03,9141224.97
Agriculture Development Project,"Rehabilitation of Water Impounding Irrigation System, Sitio Kayskat, Barangay San Jose",-,513053.35,-
Agriculture Development Project,"Concreting of Farm to Market Road Pantay-Tanza Road, Barangay San Jose",-,4995721.68,-
Total 20% Development Funds,Total 20% Development Funds,163162500,57420134.05,105742366
