particulars_1,particulars_2,appropriation,obligation,balance_appropriation_or_allotment
"Purchase, Construction and Improvement of Government Facilities","Education, Culture, Sports, and Manpower Development",962,-,962
Health Development Project,Health Development Project,6360000,6353428,6571.59
Health Development Project,"Construction of Health and Livelihood Center, Barangay Hall Compound, Cogeo Village, Barangay Bagong Nayon",-,5953428.41,-
Health Development Project,"Completion of Health Center, Barangay Hall Compound, Cogeo Village, Barangay Bagong Nayon, Antipolo City",-,200000,-
Health Development Project,"Renovation/Improvement of Health Center (Additional Works), M. Santos St. Barangay San Roque, Antipolo City",-,200000,-
"Purchase, Construction and Improvement of Government Facilities",Housing and Community Development,151281538,111397795.9,39883742.07
"Purchase, Construction and Improvement of Government Facilities","Installation of Ornament Streetlights, Purok Silangan Road, Sitio PLDT, Barangay Inarawan",-,490686.64,-
"Purchase, Construction and Improvement of Government Facilities","Installation of Ornament Streetlights, Don Vicente Avenue cor. Marcos Highway, Barangay Cupang",-,234473.4,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Footbridges, Blk.14, Bagong Ngayon II, Barangay San Isidro",-,330138.44,-
"Purchase, Construction and Improvement of Government Facilities","Proposed Ripraping, Purok Sumulong, Bagong Ngayon, Barangay Dela Lapaz",-,307413.01,-
"Purchase, Construction and Improvement of Government Facilities","Construction and Rehabilitation of Monuments, City Hall Grounds and Sumulong Park, Barnangay San Roque",-,300356.73,-
"Purchase, Construction and Improvement of Government Facilities","Rehabilitation of Stone Masonry, Sitio Labangan, Barangay Mambugan",-,287775.78,-
"Purchase, Construction and Improvement of Government Facilities","Erection/Fabrication od Steel Water Tank Ondoy Village, So. Sumilang, Barangay San Jose",-,506685.35,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Deepwell (3 Units) Sitio Oreta (Kasuyan), Barangay San Isidro",-,620308.07,-
"Purchase, Construction and Improvement of Government Facilities","Rehabilitation of Riprap with Creekbed Protection Peace Village, Phase II, Barangay San Luis",-,494435.27,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Hanging Bridge Purok 5, Zone 7B, Barangay Cupang",-,1472387.95,-
"Purchase, Construction and Improvement of Government Facilities","Construction of Covered Court (10.0m x 123.0m) Baybay Sapa, Barangay Mayamot",-,1884470.91,-
