program_or_project_or_activity_1,program_or_project_or_activity_2,program_or_project_or_activity_3,appropriation,project_cost
Social Development,Human and Ecological Security & Social Vulnerability Reduction Program,Human and Ecological Security and Social Vulnerability Reduction Program,-,-
Social Development,Repair and Rehabilitation of Hospital Buildings/Facilities,Repair & Rehabilitation of Hospital Buildings/Facilities,-,-
Social Development,Repair and Rehabilitation of Hospital Buildings/Facilities,SCDH,1400000,0
Social Development,Repair and Rehabilitation of Hospital Buildings/Facilities,TMH,700000,0
Social Development,Repair and Rehabilitation of Hospital Buildings/Facilities,DDRMH,2400000,0
Social Development,Medical/Hospital Equipment for Enhanced Medical Services,Medical/Hospital Equipment for Enhanced Medical Services,-,-
Social Development,Medical/Hospital Equipment for Enhanced Medical Services,SCDH,900000,0
Social Development,Medical/Hospital Equipment for Enhanced Medical Services,TMH,300000,0
Social Development,Medical/Hospital Equipment for Enhanced Medical Services,DDRMH,1400000,0
Social Development,Constitution/Rehabilitation of Potable Water Supply System PHO/PEO for Climate Adaptation,Constitution/Rehabilitation of Potable Water Supply System PHO/PEO for Climate Adaptation,3100000,-
Social Development,Constitution/Rehabilitation of Potable Water Supply System PHO/PEO for Climate Adaptation,Improvement/Upgrading of Barangay Water Distribution Pipes Barangay Bagtingon Buenavista,-,-
Social Development,Constitution/Rehabilitation of Potable Water Supply System PHO/PEO for Climate Adaptation,Improvement of Barangay Water Supply System Brgy. Dolores Sta. Cruz,-,-
Social Development,Constitution/Rehabilitation of Potable Water Supply System PHO/PEO for Climate Adaptation,Improvement of Water System,-,-
Social Development,Constitution/Rehabilitation of Potable Water Supply System PHO/PEO for Climate Adaptation,Establishment of Manpower Development  Center & Social Capacity Building,1500000,0
Social Development,Constitution/Rehabilitation of Potable Water Supply System PHO/PEO for Climate Adaptation,Construction of DOTS Hospital Based-Clinic,200000,0
Social Development,Constitution/Rehabilitation of Potable Water Supply System PHO/PEO for Climate Adaptation,Equipment/Facilities for Person with Disabilities  the Vulnerable Sectors & Victim of Disasters,200000,0
Social Development,Community Development and Sponsored Projects,Community Development and Sponsored Projects,-,-
Social Development,Community Development and Sponsored Projects,Executive Initiated Development Project,4855261,1202785
Social Development,Construction of Covered Pathway Barangay Landy E/S Sta. Cruz,Construction of Covered Pathway Barangay Landy E/S Sta. Cruz,-,100000
Social Development,Construction of Basketball Board Barangay. Hianggayon Mogpog,Construction of Basketball Board Barangay. Hianggayon Mogpog,-,10000
Social Development,Improvement of Day Care Center Barangay Banogbog Sta. Cruz,Improvement of Day Care Center Barangay Banogbog Sta. Cruz,-,100000
Social Development,Repair and Completion of Social Hall,Repair and Completion of Social Hall,-,170200
Social Development,Concreting of Pathway Barangay Malibago Torrijos,Concreting of Pathway Barangay Malibago Torrijos,-,171985
Social Development,Community Development Thru Kalahi Convergence Program Boac Marinduque,Community Development Thru Kalahi Convergence Program Boac Marinduque,-,166750
Social Development,Provincial Inter-Town Basketball Tournament (Governor's Cup),Provincial Inter-Town Basketball Tournament (Governor's Cup),-,194800
Social Development,Palarong Pamabarangay Barangay Mahinhin Boac,Palarong Pamabarangay Barangay Mahinhin Boac,-,3500
Social Development,Lightning Service for Barangay Affairs,Lightning Service for Barangay Affairs,-,74000
Social Development,Financial Assistance for Construction of Multi-Purpose Hall,Financial Assistance for Construction of Multi-Purpose Hall,-,60000
Social Development,Community Development Program thru Kalahi Convergence,Community Development Program thru Kalahi Convergence,-,141750
Social Development,Financial Assistance for Barangay Sports Development,Financial Assistance for Barangay Sports Development,-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Barangay Tagum, Sta. Cruz-Legislative Sponsored Project",6000000,0
Social Development,Financial Assistance for Barangay Sports Development,Construction of Marinduque Sports and Social Events Complex (Site Development),2000000,0
Social Development,Financial Assistance for Barangay Sports Development,Construction of Laboratory High School,1000000,0
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pathway Barangay Tabi, Boac",-,9941
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Rain Collector Barangay Sayao, Mogpog",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Installation of Toilet Bowl Barangay Agumaymayan, Boac",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Waiting Shed Barangay Masiga, Gasan",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pathway Barangay Daig, Boac",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Rehabilitation of Street Lightning Barangay Sumangga, Mogpong",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Improvement of School Building Barangay Binuga, Boac",-,14470
Social Development,Financial Assistance for Barangay Sports Development,Repair of Waiting Shed Barangay Tumapon Boac,-,341631
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Roofing of School Stage Barangay Tiguion, Gasan",-,15000
Social Development,Financial Assistance for Barangay Sports Development,Constitution of Concrete Premiter Fence Barangay Capayang Mogpog,-,5400
Social Development,Financial Assistance for Barangay Sports Development,Proposed Catwalk Barangay Lupac Boac,-,13000
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Concrete Beaches Barangay Bangbang, Gasan",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Rehabilitation of Flood Control of Barangay Sayao, Mogpog",-,5000
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Street Lightning Barangay Hinadharan, Mogpog",-,10000
Social Development,Financial Assistance for Barangay Sports Development,Proposed Street Lightning Barangay Matandang Gasan,-,16500
Social Development,Financial Assistance for Barangay Sports Development,"Improvement of School Building Barangay Catabugan, Boac",-,14000
Social Development,Financial Assistance for Barangay Sports Development,"Purchase of Agriculture Sprayer Barangay Bahi, Gasan",-,10500
Social Development,Financial Assistance for Barangay Sports Development,Repair and Concreting of Covered Pathways,-,13000
Social Development,Financial Assistance for Barangay Sports Development,Proposed Concrete Fence Bantauyan Elementary School,-,23945
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pathway Barangay Balimbing, Boac",-,5400
Social Development,Financial Assistance for Barangay Sports Development,Purchase of Toilet Bowl Barangay Hupi Sta. Cruz,-,14250
Social Development,Financial Assistance for Barangay Sports Development,Proposed Concrete Frence Bantauyan Elementary School,-,11340
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Concrete Blocks Barangay Bangbangalon, Boac",-,5400
Social Development,Financial Assistance for Barangay Sports Development,"Sanitation Programs Barangay Tabigue, Boac",-,18300
Social Development,Financial Assistance for Barangay Sports Development,"Purchase of Jetmatic Pump Barangay Balagasan, Boac",-,14000
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Pathway Barangay Lapu-Lapu, Sta. Cruz",-,27000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Barangay Road Barangay Dolores, Sta.Cruz",-,27000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Barangay Road Barangay Malinao, Torrijos",-,13500
Social Development,Financial Assistance for Barangay Sports Development,Construction of Open canal Barangay Alobo Sta. Cruz,-,13500
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Pathway Barangay Ipil, Sta. Cruz",-,13500
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Pathway Barangay Pantayan, Sta. Cruz",-,13500
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Pathway Barangay Tawiran, Sta. Cruz",-,13500
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Portion of Barangay Road Barangay Maranlig, Torrijos",-,13500
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Pathway Barangay Malbog, Buenavista",-,13500
Social Development,Financial Assistance for Barangay Sports Development,"Construction of Pathway Barangay I, Buenavista",-,27000
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Concrete Pavement Barangay Bicas-Bicas, Buenavista",-,13500
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Pathway Barangay Catubugan, Boac",-,10000
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Street Lightning Barangay Putting Buhangin, Mogpog",-,15000
Social Development,Financial Assistance for Barangay Sports Development,"Proposed Concete Fence Barangay Pinggan, Gasan",-,21400
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pahway Barangay Amoigon, Boac",-,5400
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pahway Barangay Apitong, Boac",-,5400
Social Development,Financial Assistance for Barangay Sports Development,"Concreting of Pahway Barangay Duyay, Boac",-,5400
