particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"8,451,221","3,675,018","26,730,117","798,706","43,430,827","11,663,827","220,677","54,303,240","8,531,166","13,372,618","712,143","1,425,200","1,661,432","17,731,200","1,263,081","1,062,323","1,650,386","32,511","247,796","1,584,441","52,688","61,028","55,119","198,716,765"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"737,216","128,153","56,095",302,"186,271","196,782",0,"2,700","113,232","18,092","112,646",0,"9,361","2,222,705","19,487","4,350","54,579",0,"13,863",1,"5,653",0,0,"3,881,488"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"115,741","24,477","6,728",117,"53,701","168,648",0,0,"43,152","2,696","15,124",0,"3,166","589,094","4,024","1,250","35,845",0,"10,328",0,"1,947",0,0,"1,076,038"
               Senate Electoral Tribunal,"1,650","1,500",600,0,"2,500","4,400",0,0,"2,500",300,"3,706",0,200,"16,923",0,0,750,0,0,0,0,0,0,"35,029"
          Commission on Appointments,"1,479","4,388","3,012",0,"11,437","21,774",0,0,0,"1,000","9,708",0,700,"126,181",0,0,"11,964",0,300,1,1,0,0,"191,945"
          House of Representatives,"618,102","96,060","45,555",185,"111,413",0,0,"2,700","63,800","13,796","81,196",0,"4,905","1,465,748","15,213","3,000","5,620",0,"3,085",0,"3,705",0,0,"2,534,083"
               House Electoral Tribunal,244,"1,728",200,0,"7,220","1,960",0,0,"3,780",300,"2,912",0,390,"24,759",250,100,400,0,150,0,0,0,0,"44,393"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"432,241","85,899","353,458","1,472","178,293","162,458",0,300,"179,931","14,569","19,606","650,000","85,519","238,147","4,211","7,448","63,892",0,"4,423",176,104,0,0,"2,482,147"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"432,241","85,899","353,458","1,472","178,293","162,458",0,300,"179,931","14,569","19,606","650,000","85,519","238,147","4,211","7,448","63,892",0,"4,423",176,104,0,0,"2,482,147"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"8,310","4,580","2,858",0,"5,760","10,080",0,"76,500",855,297,454,"6,000",385,"10,152",0,0,"10,800",0,270,0,0,0,0,"137,301"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"796,818","248,401","376,280","89,380","820,906","280,458",0,"4,290,035","185,825","495,405","11,743",0,"66,223","649,386","60,799","124,335","68,777",0,"14,110","661,221","6,575",0,0,"9,246,677"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"796,818","248,401","376,280","89,380","820,906","280,458",0,"4,290,035","185,825","495,405","11,743",0,"66,223","649,386","60,799","124,335","68,777",0,"14,110","661,221","6,575",0,0,"9,246,677"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"748,881","181,142","303,810","28,334","4,436,477","130,970",500,"3,005,583","251,637","936,962","7,230",0,"102,623","1,425,018","56,286","37,517","282,987",511,"7,597","50,251","1,643","3,897","5,811","12,005,667"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"533,548","133,491","116,214","24,112","3,474,049","82,987",500,"2,386,964","167,696","675,197","3,970",0,"24,543","996,402","40,671","32,136","277,105",401,"4,388","50,251",820,"3,136","5,721","9,034,302"
          Agricultural Credit Policy Council,700,620,200,0,610,"2,640",0,0,"1,808",227,110,0,89,"1,235",100,0,170,0,50,0,0,0,0,"8,559"
          Bureau of Fisheries and Aquatic Resources,"126,853","25,897","159,557","2,414","802,176","31,838",0,0,"42,633","122,262","1,416",0,"70,231","304,016","4,402","3,301","3,537",110,"1,621",0,145,361,0,"1,702,770"
          Cotton Development Administration,"1,203",450,"1,000",30,"1,958",160,0,0,430,90,209,0,201,"2,396",100,0,160,0,50,0,30,0,0,"8,467"
          Fertilizer and Pesticide Authority,"3,823","1,272","2,088",11,"6,307",118,0,0,"3,261",327,110,0,626,"4,044",521,10,211,0,64,0,0,0,0,"22,793"
          Fiber Industry Development Authority,"9,542","2,533","1,553",619,"14,531","8,149",0,0,"5,046","2,709",768,0,937,"15,313","1,078",281,687,0,173,0,130,0,0,"64,049"
          Livestock Development Council,935,618,200,0,"1,323",226,0,0,475,610,190,0,200,"3,529",318,50,200,0,10,0,198,0,0,"9,082"
          National Agricultural and Fishery Council,"48,831","8,297","1,812",0,"61,984",15,0,"618,556","8,050","114,052",72,0,942,"25,200","2,470",489,270,0,50,0,20,0,90,"891,200"
          National Meat Inspection Service,"7,900","2,081","4,150",50,"7,399",450,0,0,"7,070","5,400",150,0,580,"17,265","2,700",50,0,0,179,0,0,0,0,"55,424"
          Philippine Carabao Center,"8,495","4,111","12,926",879,"53,946","4,100",0,63,"11,498","13,699",125,0,"3,311","41,917","1,441","1,130",280,0,900,0,250,400,0,"159,471"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization (formerly BPHRE),"7,051","1,772","4,110",219,"12,194",287,0,0,"3,670","2,389",110,0,963,"13,701","2,485",70,367,0,112,0,50,0,0,"49,550"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"19,486","11,944","9,879",0,"31,243","6,398",72,0,"43,760","7,794","5,116",0,"2,720","224,200","13,762","1,955","18,459",0,636,0,265,217,0,"397,906"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"14,286","11,464","9,479",0,"30,378","6,098",12,0,"43,365","7,794","5,006",0,"2,720","223,720","13,742","1,005","17,959",0,611,0,15,217,0,"387,871"
          Government Procurement Policy Board -,,,,,,,,,,,,,,,,,,,,,,,,
                Technical Support Office,"5,200",480,400,0,865,300,60,0,395,0,110,0,0,480,20,950,500,0,25,0,250,0,0,"10,035"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"1,038,070","893,139","1,913,480","50,578","5,296,174","42,422",0,"11,069,785","1,341,953","2,665,236","14,678",0,"60,084","306,853","353,732","42,417","52,359",0,"29,937",0,10,"9,256",0,"25,180,163"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,032,296","890,626","1,905,816","50,524","5,279,081","40,492",0,"11,069,785","1,318,568","2,661,478","14,348",0,"59,143","268,653","351,091","41,857","50,857",0,"29,834",0,0,"9,256",0,"25,073,705"
          National Book Development Board,280,455,300,0,777,"1,750",0,0,600,300,110,0,80,"3,542","1,620",165,"1,250",0,33,0,5,0,0,"11,267"
          National Council for Children's Television,700,199,0,49,49,0,0,0,0,"1,661",0,0,30,"1,000",440,240,89,0,20,0,0,0,0,"4,477"
          National Museum,"4,500","1,515","6,200",0,"5,310",0,0,0,"18,546",150,110,0,235,"19,865",476,100,75,0,0,0,0,0,0,"57,082"
          Philippine High School for the Arts,294,344,"1,164",5,"10,957",180,0,0,"4,239","1,647",110,0,596,"13,793",105,55,88,0,50,0,5,0,0,"33,632"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"157,630","93,077","223,508","13,669","842,627","12,496","26,816","39,450","573,736","242,724","32,235",0,"47,494","395,110","23,523","6,486","41,559",30,"17,709",391,"11,661","1,470",991,"2,804,392"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"19,851","36,849","45,153",427,"344,067","6,165","26,786","3,480","214,424","57,210","13,964",0,"15,720","107,953","8,659",858,"12,713",0,"2,538",0,542,0,0,"917,359"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,566,"1,000","1,435",0,"7,237",0,0,0,"11,201","1,778",110,0,200,355,125,75,0,0,70,0,75,0,0,"24,227"
               Marikina Polytechnic College,78,240,240,0,504,0,0,0,"4,585",136,110,0,25,60,0,0,0,0,0,0,0,0,0,"5,978"
               Philippine Normal University,"1,921","2,472","2,252",0,"11,345",85,0,0,"14,290","3,228",419,0,"1,700","13,004",95,130,0,0,204,0,100,0,0,"51,245"
               Philippine State College of Aeronautics,350,503,"2,213",0,"2,635",826,0,0,450,500,94,0,"1,040",150,0,200,585,0,100,0,0,0,0,"9,646"
               Polytechnic University of the Philippines,"1,225","5,314","1,780",50,"15,964",266,0,0,"36,105","1,000",110,0,"2,103","23,228",0,0,"3,539",0,0,0,0,0,0,"90,684"
               Rizal Technological University,912,454,640,0,"3,160",0,0,5,"3,674",930,485,0,500,"7,524",50,20,588,0,0,0,0,0,0,"18,942"
               Technological University of the Philippines,"1,990","1,520","2,850",0,"9,885",0,0,"1,800","21,373","1,850",590,0,840,"15,890",0,0,"4,050",0,0,0,0,0,0,"62,638"
               University of the Philippines System,"12,809","25,346","33,743",377,"293,337","4,988","26,786","1,675","122,746","47,788","12,046",0,"9,312","47,742","8,389",433,"3,951",0,"2,164",0,367,0,0,"653,999"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"8,897","4,968","19,355","3,019","40,864",249,0,"1,977","32,594","5,878",606,0,"1,242","21,108","1,954",273,"4,727",0,"1,722",0,629,237,229,"150,528"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"1,368","2,018","2,343","2,832","8,702",0,0,25,"8,655","1,936",98,0,225,"4,930",619,0,"1,536",0,343,0,65,80,0,"35,775"
               Ilocos Sur Polytechnic State College,840,101,569,0,"5,243",0,0,31,655,157,76,0,22,820,0,0,0,0,0,0,0,0,0,"8,514"
               Mariano Marcos State University,"2,263",825,"6,684",136,"7,129",150,0,"1,277","9,251","1,730",162,0,550,"9,803",259,100,"1,976",0,460,0,230,150,150,"43,285"
               Pangasinan State University,"2,914","1,248","6,932",45,"7,594",43,0,644,"5,832","1,461",160,0,114,"4,478",500,100,760,0,400,0,100,7,79,"33,411"
               University of Northern Philippines,"1,512",776,"2,827",6,"12,196",56,0,0,"8,201",594,110,0,331,"1,077",576,73,455,0,519,0,234,0,0,"29,543"
,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"5,374","2,130","9,336",570,"25,608",607,0,100,"9,006","6,497",748,0,337,"15,106","1,753",73,490,0,603,40,"1,387",0,0,"79,765"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,700,192,780,0,"2,600",0,0,0,825,832,110,0,160,"1,100",140,0,110,0,130,0,80,0,0,"7,759"
               Apayao State College,378,196,223,86,"1,100",236,0,0,323,250,110,0,153,238,145,10,116,0,66,40,83,0,0,"3,753"
               Benguet State University,"1,388",699,"5,206",47,"7,377",196,0,0,"4,905","3,255",162,0,0,"7,032","1,300",50,0,0,0,0,860,0,0,"32,477"
               Ifugao State University (Ifugao State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Agriculture and Forestry),"1,013",633,"1,492",189,"5,706",168,0,100,"1,360",464,122,0,0,"1,542",0,0,0,0,389,0,79,0,0,"13,257"
               Kalinga-Apayao State College,570,225,618,248,"2,319",7,0,0,573,"1,046",122,0,24,736,168,13,264,0,18,0,285,0,0,"7,236"
               Mountain Province State Polytechnic College,"1,325",185,"1,017",0,"6,506",0,0,0,"1,020",650,122,0,0,"4,458",0,0,0,0,0,0,0,0,0,"15,283"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"9,005","5,169","12,592","1,081","24,090",375,0,231,"15,667","24,281","1,544",0,"1,029","17,430","1,533",395,"4,761",0,462,50,840,30,0,"120,565"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),225,63,333,16,328,0,0,0,208,172,90,0,11,239,30,0,33,0,0,0,180,30,0,"1,958"
