particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_cd,ssect_cd,agy_type,owner_cd,dept,agy,owner_dsc,amt_actual_orig,amt_adj_orig,amt_prop_orig
ECONOMIC SERVICES,402501982,398833488,361435859,1,1,2011,,0,1,,,,,,,402501982,398833488,361435859
,,,,0,0,2011,,0,,,,,,,,,,
Agriculture and Agrarian Reform,81422071,89219861,66047831,2,1,2011,,0,1,02,,,,,,81422071,89219861,66047831
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,52349139,61256078,50771613,3,1,2011,,0,1,02,DEPT,,,,,52349139,61256078,50771613
      Department of Agriculture,40637751,41170447,37698376,4,0,2011,,0,1,02,DEPT,,Department of Agriculture,Department of Agriculture,,40637751,41170447,37698376
             Office of the Secretary,35974582,35917196,33081608,0,0,2011,1,0,1,02,DEPT,OSEC-DA,Department of Agriculture,Office of the Secretary,,35974582,35917196,33081608
             Agricultural Credit Policy Council,23561,22368,25710,0,0,2011,2,0,1,02,DEPT,ACPC,Department of Agriculture,Agricultural Credit Policy Council,,23561,22368,25710
             Bureau of Fisheries and Aquatic Resources,2264947,3335637,2366619,0,0,2011,3,0,1,02,DEPT,BFAR,Department of Agriculture,Bureau of Fisheries and Aquatic Resources,,2264947,3335637,2366619
             Philippine Center for Postharvest Development
                and Mechanization (formerly BPHRE),676991,116664,101477,0,0,2011,4,0,1,02,DEPT,BUPHIRE,Department of Agriculture,Philippine Center for Postharvest Development and Mechanization (formerly BPHRE),,676991,116664,101477
             Cotton Development Administration,48389,45849,57663,0,0,2011,5,0,1,02,DEPT,CODA,Department of Agriculture,Cotton Development Administration,,48389,45849,57663
             Fertilizer and Pesticide Authority,81065,93577,49518,0,0,2011,6,0,1,02,DEPT,FPA,Department of Agriculture,Fertilizer and Pesticide Authority,,81065,93577,49518
             Fiber Industry Development Authority,221061,211550,214906,0,0,2011,7,0,1,02,DEPT,FIDA,Department of Agriculture,Fiber Industry Development Authority,,221061,211550,214906
             Livestock Development Council,16883,17057,17677,0,0,2011,8,0,1,02,DEPT,LDC,Department of Agriculture,Livestock Development Council,,16883,17057,17677
             National Agricultural and Fishery Council,633950,534297,935813,0,0,2011,9,0,1,02,DEPT,NAFC,Department of Agriculture,National Agricultural and Fishery Council,,633950,534297,935813
             National Meat Inspection Service ,193024,201535,242062,0,0,2011,10,0,1,02,DEPT,NMIC,Department of Agriculture,National Meat Inspection Service ,,193024,201535,242062
             Philippine Carabao Center,503298,674717,605323,0,0,2011,11,0,1,02,DEPT,PCARC,Department of Agriculture,Philippine Carabao Center,,503298,674717,605323
      Department of Agrarian Reform,11208181,19781199,12739306,0,0,2011,12,0,1,02,DEPT,OSEC-DAR,Department of Agrarian Reform,,,11208181,19781199,12739306
      Department of Science and Technology,503207,304432,333931,4,0,2011,,0,1,02,DEPT,,Department of Science and Technology,Department of Science and Technology,,503207,304432,333931
"             Philippine Council for Agriculture, Forestry and
                Natural Resources Research and Development",458885,268722,296216,0,0,2011,13,0,1,02,DEPT,PCAFNRD,Department of Science and Technology,"Philippine Council for Agriculture, Forestry and Natural Resources Research and Development",,458885,268722,296216
             Philippine Council for Aquatic and Marine Research
                and Development,44322,35710,37715,0,0,2011,14,0,1,02,DEPT,PCAMRD,Department of Science and Technology,Philippine Council for Aquatic and Marine Research and Development,,44322,35710,37715
   Budgetary Support to Government Corporations,29062793,9712411,942759,3,1,2011,,0,1,02,BSGC,,,,,29062793,9712411,942759
      National Dairy Authority,52200,72200,51619,0,0,2011,15,0,1,02,BSGC,NDA,National Dairy Authority,,,52200,72200,51619
      National Agribusiness Corporation,0,0,0,0,0,2011,16,0,1,02,BSGC,NAC,National Agribusiness Corporation,,,0,0,0
      National Food Authority,24522117,8000000,0,0,0,2011,17,0,1,02,BSGC,NFA,National Food Authority,,,24522117,8000000,0
      National Irrigation Administration,0,0,0,0,0,2011,18,0,1,02,BSGC,NIA,National Irrigation Administration,,,0,0,0
      National Tobacco Administration,116480,115000,77454,0,0,2011,19,0,1,02,BSGC,NTA,National Tobacco Administration,,,116480,115000,77454
      Philippine Coconut Authority,591623,655690,549915,0,0,2011,20,0,1,02,BSGC,PCOA,Philippine Coconut Authority,,,591623,655690,549915
      Philippine Crop Insurance Corporation,144271,214271,113771,0,0,2011,21,0,1,02,BSGC,PCIC-DA,Philippine Crop Insurance Corporation,,,144271,214271,113771
      Philippine Fisheries Development Authority,0,0,0,0,0,2011,22,0,1,02,BSGC,PFDA,Philippine Fisheries Development Authority,,,0,0,0
      Philippine Rice Research Institute,394253,435000,91000,0,0,2011,23,0,1,02,BSGC,PRRI,Philippine Rice Research Institute,,,394253,435000,91000
      Southern Philippines Development Authority,121943,30000,59000,0,0,2011,24,0,1,02,BSGC,SPDA,Southern Philippines Development Authority,,,121943,30000,59000
      Quedan and Rural Credit Guarantee Corporation,200000,190250,0,0,0,2011,25,0,1,02,BSGC,QUEDAN,Quedan and Rural Credit Guarantee Corporation,,,200000,190250,0
      Bases Conversion Development Authority,2919906,0,0,0,0,2011,26,0,1,02,BSGC,BCDA,Bases Conversion Development Authority,,,2919906,0,0
   Other Special Purpose Funds,10139,18251372,14333459,3,1,2011,,0,1,02,OSPF,,,,,10139,18251372,14333459
      Allocations to Local Government Units,10139,13739,0,4,0,2011,,0,1,02,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,10139,13739,0
             Municipal Development Fund,10139,13739,0,0,0,2011,27,0,1,02,OSPF,MDF,Allocations to Local Government Units,Municipal Development Fund,,10139,13739,0
      Calamity Fund,0,302000,755000,0,0,2011,28,0,1,02,OSPF,CF,Calamity Fund,,,0,302000,755000
      Miscellaneous Personnel Benefits Fund,0,1631684,1577419,0,0,2011,29,0,1,02,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,1631684,1577419
      Priority Development Assistance Fund,0,2954249,6751040,0,0,2011,30,0,1,02,OSPF,PDAF,Priority Development Assistance Fund,,,0,2954249,6751040
      Tax Expenditures Fund,0,13349700,5250000,0,0,2011,31,0,1,02,OSPF,TEF,Tax Expenditures Fund,,,0,13349700,5250000
Natural Resources and Environment,14350053,14737805,13858574,2,1,2011,,0,1,04,,,,,,14350053,14737805,13858574
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,12399702,12211534,12385401,3,1,2011,,0,1,04,DEPT,,,,,12399702,12211534,12385401
      Department of Environment and Natural Resources,12289574,12124742,12289273,4,0,2011,,0,1,04,DEPT,,Department of Environment and Natural Resources,Department of Environment and Natural Resources,,12289574,12124742,12289273
             Office of the Secretary,9308326,9305188,9347590,0,0,2011,32,0,1,04,DEPT,OSEC-DENR,Department of Environment and Natural Resources,Office of the Secretary,,9308326,9305188,9347590
             Environmental Management Bureau,478774,807814,752279,0,0,2011,33,0,1,04,DEPT,EMB,Department of Environment and Natural Resources,Environmental Management Bureau,,478774,807814,752279
             Land Registration Authority,906044,673172,790201,0,0,2011,34,0,1,04,DEPT,LRA-DENR,Department of Environment and Natural Resources,Land Registration Authority,,906044,673172,790201
             Mines and Geo-Sciences Bureau,594665,573409,717439,0,0,2011,35,0,1,04,DEPT,MGB,Department of Environment and Natural Resources,Mines and Geo-Sciences Bureau,,594665,573409,717439
             National Mapping and Resource Information Authority,1001765,765159,681764,0,0,2011,36,0,1,04,DEPT,NAMRIA,Department of Environment and Natural Resources,National Mapping and Resource Information Authority,,1001765,765159,681764
      Department of Science and Technology,110128,86792,96128,4,0,2011,,0,1,04,DEPT,,Department of Science and Technology,Department of Science and Technology,,110128,86792,96128
             Forest Products Research and Development Institute,110128,86792,96128,0,0,2011,37,0,1,04,DEPT,FPRDI,Department of Science and Technology,Forest Products Research and Development Institute,,110128,86792,96128
   Budgetary Support to Government Corporations,66595,0,0,3,1,2011,,0,1,04,BSGC,,,,,66595,0,0
      Laguna Lake Development Authority,21595,0,0,0,0,2011,38,0,1,04,BSGC,LLDA,Laguna Lake Development Authority,,,21595,0,0
      Natural Resources Development Corporation,45000,0,0,0,0,2011,39,0,1,04,BSGC,NRDC,Natural Resources Development Corporation,,,45000,0,0
   Other Special Purpose Funds,1883756,2526271,1473173,3,1,2011,,0,1,04,OSPF,,,,,1883756,2526271,1473173
      Miscellaneous Personnel Benefits Fund,0,1335014,1290616,0,0,2011,40,0,1,04,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,1335014,1290616
      Allocations to Local Government Units,1883756,1180396,157737,4,0,2011,,0,1,04,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,1883756,1180396,157737
             Pasig River Rehabilitation Commission,1883756,1180396,157737,0,0,2011,41,0,1,04,OSPF,PRRC-ALGU,Allocations to Local Government Units,Pasig River Rehabilitation Commission,,1883756,1180396,157737
      Priority Development Assistance Fund,0,10861,24820,0,0,2011,42,0,1,04,OSPF,PDAF,Priority Development Assistance Fund,,,0,10861,24820
Trade and Industry,6056675,5649662,4423898,2,1,2011,,0,1,05,,,,,,6056675,5649662,4423898
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,4299490,3161213,3298079,3,1,2011,,0,1,05,DEPT,,,,,4299490,3161213,3298079
      Department of Science and Technology,917499,390540,480136,4,0,2011,,0,1,05,DEPT,,Department of Science and Technology,Department of Science and Technology,,917499,390540,480136
             Industrial Technology Development Institute,215800,157505,172753,0,0,2011,43,0,1,05,DEPT,ITDI,Department of Science and Technology,Industrial Technology Development Institute,,215800,157505,172753
             Metals Industry Research and Development Center,104190,95629,128078,0,0,2011,44,0,1,05,DEPT,MIRDC,Department of Science and Technology,Metals Industry Research and Development Center,,104190,95629,128078
"             Philippine Council for Industry, Energy and Emerging
                Technology Research and Development",0,0,0,0,0,2011,45,0,1,05,DEPT,PCIEERD,Department of Science and Technology,"Philippine Council for Industry, Energy and Emerging Technology Research and Development",,0,0,0
             Philippine Council for Industry and Energy Research
                and Development,466249,43780,45979,0,0,2011,46,0,1,05,DEPT,PCIERD,Department of Science and Technology,Philippine Council for Industry and Energy Research and Development,,466249,43780,45979
             Philippine Textile Research Institute,58094,39963,60345,0,0,2011,47,0,1,05,DEPT,PTRI,Department of Science and Technology,Philippine Textile Research Institute,,58094,39963,60345
             Technology Application and Promotion Institute,73166,53663,72981,0,0,2011,48,0,1,05,DEPT,TAPI,Department of Science and Technology,Technology Application and Promotion Institute,,73166,53663,72981
      Department of Trade and Industry,3112579,2513981,2563341,4,0,2011,,0,1,05,DEPT,,Department of Trade and Industry,Department of Trade and Industry,,3112579,2513981,2563341
             Office of the Secretary,2711494,2164252,2179700,0,0,2011,49,0,1,05,DEPT,OSEC-DTI,Department of Trade and Industry,Office of the Secretary,,2711494,2164252,2179700
             Board of Investments,249002,204037,233562,0,0,2011,50,0,1,05,DEPT,BOI,Department of Trade and Industry,Board of Investments,,249002,204037,233562
             Construction Industry Authority of the Philippines,42283,40421,42968,0,0,2011,51,0,1,05,DEPT,CIAP,Department of Trade and Industry,Construction Industry Authority of the Philippines,,42283,40421,42968
             Construction Manpower Development Foundation,22011,20999,21372,0,0,2011,52,0,1,05,DEPT,CMDF,Department of Trade and Industry,Construction Manpower Development Foundation,,22011,20999,21372
             Philippine Trade Training Center,38782,34772,35157,0,0,2011,53,0,1,05,DEPT,PTTC,Department of Trade and Industry,Philippine Trade Training Center,,38782,34772,35157
             Product Development and Design Center of the Philippines,49007,49500,50582,0,0,2011,54,0,1,05,DEPT,PDDCP,Department of Trade and Industry,Product Development and Design Center of the Philippines,,49007,49500,50582
      Other Executive Offices,269412,256692,254602,4,0,2011,,0,1,05,DEPT,,Other Executive Offices,Other Executive Offices,,269412,256692,254602
             Securities and Exchange Commission,269412,256692,254602,0,0,2011,55,0,1,05,DEPT,P_SEC,Other Executive Offices,Securities and Exchange Commission,,269412,256692,254602
   Budgetary Support to Government Corporations,1757185,2168196,687336,3,1,2011,,0,1,05,BSGC,,,,,1757185,2168196,687336
      Cagayan Economic Zone Authority,1141290,1114450,294550,0,0,2011,56,0,1,05,BSGC,CEZA,Cagayan Economic Zone Authority,,,1141290,1114450,294550
      Center for International Trade Expositions and Missions,67831,73746,79686,0,0,2011,57,0,1,05,BSGC,CITEM,Center for International Trade Expositions and Missions,,,67831,73746,79686
      Cottage Industry Technology Center,10000,10000,8000,0,0,2011,58,0,1,05,BSGC,CITC,Cottage Industry Technology Center,,,10000,10000,8000
      Aurora Pacific Economic and Freeport Zone (formerly ASEZA),400000,800000,145000,0,0,2011,59,0,1,05,BSGC,ASEZA,Aurora Pacific Economic and Freeport Zone (formerly ASEZA),,,400000,800000,145000
      Zamboanga City Special Economic Zone Authority,90000,70000,60100,0,0,2011,60,0,1,05,BSGC,ZCSEZA,Zamboanga City Special Economic Zone Authority,,,90000,70000,60100
      Small Business Corporation,48064,0,0,0,0,2011,61,0,1,05,BSGC,SBGFC,Small Business Corporation,,,48064,0,0
      Authority of the Freeport Area of Bataan,0,100000,100000,0,0,2011,63,0,1,05,BSGC,AFAB,Authority of the Freeport Area of Bataan,,,0,100000,100000
   Other Special Purpose Funds,0,320253,438483,3,1,2011,,0,1,05,OSPF,,,,,0,320253,438483
      Miscellaneous Personnel Benefits Fund,0,222502,215103,0,0,2011,64,0,1,05,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,222502,215103
      Priority Development Assistance Fund,0,97751,223380,0,0,2011,65,0,1,05,OSPF,PDAF,Priority Development Assistance Fund,,,0,97751,223380
Tourism,2157453,2317167,1833716,2,1,2011,,0,1,06,,,,,,2157453,2317167,1833716
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,1791992,1603000,1452015,3,1,2011,,0,1,06,DEPT,,,,,1791992,1603000,1452015
      Department of Tourism,1791992,1603000,1452015,4,0,2011,,0,1,06,DEPT,,Department of Tourism,Department of Tourism,,1791992,1603000,1452015
             Office of the Secretary,1593614,1388514,1303978,0,0,2011,66,0,1,06,DEPT,OSEC-DOT,Department of Tourism,Office of the Secretary,,1593614,1388514,1303978
             Intramuros Administration,36953,90421,32766,0,0,2011,67,0,1,06,DEPT,IA,Department of Tourism,Intramuros Administration,,36953,90421,32766
             National Parks Development Committee,161425,124065,115271,0,0,2011,68,0,1,06,DEPT,NPDC,Department of Tourism,National Parks Development Committee,,161425,124065,115271
   Budgetary Support to Government Corporations,365461,640000,310000,3,1,2011,,0,1,06,BSGC,,,,,365461,640000,310000
