Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,0,"1,451,367","422,701","1,805,099","16,630,588","6,090,548","1,320","2,104,774","5,679,190","149,693,537","992,037",0,"184,871,161"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,"300,000","107,550",0,0,"103,457",0,0,0,"511,007"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Senate,0,0,0,0,0,0,0,0,"103,457",0,0,0,"103,457"
          House of Representatives,0,0,0,0,"300,000","107,550",0,0,0,0,0,0,"407,550"
,,,,,,,,,,,,,
     Office of the President,0,0,0,0,"18,000","14,990",0,0,0,0,0,0,"32,990"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,0,"18,000","14,990",0,0,0,0,0,0,"32,990"
,,,,,,,,,,,,,
     Department of Agrarian Reform,0,0,0,"250,000","74,924","1,155",0,"50,497",0,"6,823,188",0,0,"7,199,764"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"250,000","74,924","1,155",0,"50,497",0,"6,823,188",0,0,"7,199,764"
,,,,,,,,,,,,,
     Department of Agriculture,0,"1,451,367","422,701","215,938","1,311,840","695,455","1,320","64,967","401,587","21,006,944","2,596",0,"25,574,715"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,"1,351,367","54,755","45,900","353,856","561,226","1,320","10,923","96,254","21,006,944","2,596",0,"23,485,141"
          Bureau of Fisheries and Aquatic Resources,0,"100,000",0,"74,628","913,734","97,484",0,"50,035","169,721",0,0,0,"1,405,602"
          Fertilizer and Pesticide Authority,0,0,0,0,0,"2,810",0,0,"41,495",0,0,0,"44,305"
          Fiber Industry Development Authority,0,0,0,"1,055",100,"1,185",0,0,"4,925",0,0,0,"7,265"
          National Agricultural and Fishery Council,0,0,0,"94,355","9,150","32,750",0,"4,009","4,583",0,0,0,"144,847"
          National Meat Inspection Service,0,0,0,0,"25,000",0,0,0,"9,000",0,0,0,"34,000"
          Philippine Carabao Center,0,0,"367,946",0,"10,000",0,0,0,"60,000",0,0,0,"437,946"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,
                and Mechanization (formerly BPHRE),0,0,0,0,0,0,0,0,"15,609",0,0,0,"15,609"
,,,,,,,,,,,,,
