particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"7,608,287","2,536,588","21,610,752","479,648","48,631,296","12,952,261","126,967","35,960,498","6,831,446","11,840,751","821,131","2,021,782","11,053,166","30,296,236","1,302,858","960,209","1,495,065","1,998","6,949,212","708,724","1,086,989","42,050","105,082","205,422,996"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"827,781","112,568","45,657",189,"144,905","148,933","26,263","2,700","103,812","10,739","167,448",0,"6,636","2,686,288","14,378","3,619","90,188",0,"23,276",0,"9,714",0,0,"4,425,094"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"217,278","15,315","5,072",4,"29,034","125,887",0,0,"39,023","1,740","70,609",0,"2,153","635,390","1,073",204,"73,279",0,"20,682",0,743,0,0,"1,237,486"
               Senate Electoral Tribunal,"1,546","1,350",938,0,"2,530",900,0,0,"1,930",262,"3,586",0,80,"40,528",0,0,529,0,222,0,0,0,0,"54,401"
          Commission on Appointments,843,"2,107",332,0,"3,715","20,618",0,0,403,657,"9,155",0,414,"169,117",55,383,"11,919",0,121,0,"5,603",0,0,"225,442"
          House of Representatives,"607,842","93,216","39,191",185,"108,713",0,0,"2,700","59,550","8,000","81,196",0,"3,866","1,836,613","13,000","3,000","4,200",0,"2,200",0,"3,368",0,0,"2,866,840"
               House Electoral Tribunal,272,580,124,0,913,"1,528","26,263",0,"2,906",80,"2,902",0,123,"4,640",250,32,261,0,51,0,0,0,0,"40,925"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"922,455","89,262","475,138","1,101","252,420","81,766",0,"71,300","167,574","59,919","22,033","688,415","63,992","605,403","5,621","22,478","164,675",0,"4,109",20,33,0,0,"3,697,714"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"922,455","89,262","475,138","1,101","252,420","81,766",0,"71,300","167,574","59,919","22,033","688,415","63,992","605,403","5,621","22,478","164,675",0,"4,109",20,33,0,0,"3,697,714"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"9,159","3,129","3,103",0,"5,012","10,018",0,"99,314",873,313,447,"6,000",318,"12,546",0,0,"12,247",0,210,0,0,0,0,"162,689"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"319,997","65,023","97,053","3,504","283,728","195,385",0,"2,506,436","93,142","222,127","8,324",0,"100,248","990,840","22,901","42,693","32,621",0,"2,875","217,539",159,130,59,"5,204,784"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"319,997","65,023","97,053","3,504","283,728","195,385",0,"2,506,436","93,142","222,127","8,324",0,"100,248","990,840","22,901","42,693","32,621",0,"2,875","217,539",159,130,59,"5,204,784"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"684,678","131,331","478,577","20,250","5,092,907","94,681","1,986","8,080,551","199,953","896,782","7,348",0,"49,135","2,545,096","45,138","45,661","55,622",11,"4,688",0,"4,338","1,001",164,"18,439,898"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"481,317","93,292","402,817","16,697","4,520,602","54,143","1,981","7,414,525","129,021","639,961","4,117",0,"29,955","1,924,836","34,240","36,651","48,025",1,"3,161",0,"2,501",880,164,"15,838,887"
          Agricultural Credit Policy Council,711,962,286,0,609,"1,258",0,0,"1,307",128,110,0,50,"1,173",250,0,348,0,76,0,0,0,0,"7,268"
          Bureau of Fisheries and Aquatic Resources,"145,070","23,654","37,588","1,843","411,264","27,719",5,112,"39,385","101,340","1,434",0,"14,925","465,330","3,648","3,708","3,047",10,773,0,37,121,0,"1,281,013"
          Cotton Development Administration,702,365,645,31,"1,416",79,0,0,367,89,84,0,147,"2,175",65,0,170,0,10,0,22,0,0,"6,367"
          Fertilizer and Pesticide Authority,"2,825",894,"1,218",37,"5,353",197,0,0,"2,080",179,90,0,295,"5,164",507,44,229,0,47,0,0,0,0,"19,159"
          Fiber Industry Development Authority,"13,855","2,054","1,286",373,"11,488","9,216",0,0,"3,982","1,987",768,0,645,"15,739",328,"4,613","2,119",0,74,0,81,0,0,"68,608"
          Livestock Development Council,795,260,449,0,"1,747",0,0,0,357,189,114,0,164,"3,364",2,130,36,0,34,0,0,0,0,"7,641"
          National Agricultural and Fishery Council,"17,181","3,825","2,672",500,"69,060",7,0,"90,938","5,709","135,544",317,0,831,"50,269","2,274",204,988,0,115,0,"1,636",0,0,"382,070"
          National Meat Inspection Service,"7,458","2,292","5,530",0,"10,057",448,0,0,"6,755","4,013",100,0,620,"16,970","1,896",50,0,0,84,0,0,0,0,"56,273"
          Philippine Carabao Center,"10,335","2,961","18,047",769,"55,359","1,534",0,0,"7,703","11,391",90,0,715,"52,822","1,492",243,252,0,251,0,0,0,0,"163,964"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,,,,,,,,,,,,
                and Mechanization (formerly BPHRE),"4,429",772,"8,039",0,"5,952",80,0,"574,976","3,287","1,961",124,0,788,"7,254",436,18,408,0,63,0,61,0,0,"608,648"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"13,929","9,549","7,413",107,"35,537","4,989",37,0,"22,457","8,859","4,516",0,"2,177","129,173","10,104",630,"12,090",0,493,0,31,217,0,"262,308"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"13,929","9,549","7,413",107,"35,537","4,989",37,0,"22,457","8,859","4,516",0,"2,177","129,173","10,104",630,"12,090",0,493,0,31,217,0,"262,308"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"835,847","209,614","1,622,337","18,063","9,056,853","10,018",380,"5,581,423","780,143","1,865,407","18,528",0,"54,655","3,408,358","296,441","11,894","23,438",237,"11,017","25,281",780,"1,853","1,261","23,833,828"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"831,361","207,137","1,614,861","18,059","9,043,371","8,084",380,"5,581,423","762,108","1,859,578","18,350",0,"54,142","3,369,306","294,955","11,518","22,029",136,"10,890","25,281",769,"1,853","1,261","23,736,852"
          National Book Development Board,424,798,227,0,743,"1,690",0,0,481,245,85,0,62,"3,849",605,157,"1,232",0,27,0,0,0,0,"10,625"
          National Council for Children's Television,138,200,0,4,90,0,0,0,2,"4,044",0,0,20,"1,030",377,175,26,101,23,0,0,0,0,"6,230"
          National Museum,"2,931","1,084","3,973",0,"3,557",25,0,0,"15,279",72,73,0,235,"23,347",302,8,36,0,14,0,0,0,0,"50,936"
          Philippine High School for the Arts,993,395,"3,276",0,"9,092",219,0,0,"2,273","1,468",20,0,196,"10,826",202,36,115,0,63,0,11,0,0,"29,185"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"141,420","79,069","185,273","10,637","569,767","10,284",19,"53,135","510,925","370,330","85,733",0,"37,462","591,090","14,949","4,065","39,485",68,"12,137",26,"9,353","2,763","1,140","2,729,130"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"17,355","26,779","21,329",400,"95,107","5,381",9,"3,301","162,291","86,940","52,960",0,"10,278","108,376","5,428",832,"10,959",0,"2,345",0,679,36,0,"610,785"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,551,878,"2,176",9,"7,331",0,0,0,"10,058","1,501",116,0,249,524,154,102,0,0,52,0,129,0,0,"23,830"
               Marikina Polytechnic College,78,404,"1,233",0,775,0,0,0,"5,238",136,110,0,70,86,0,0,15,0,0,0,36,36,0,"8,217"
               Philippine Normal University,"1,338","1,572","1,263",3,"9,889",60,0,0,"14,420","3,184",145,0,"1,640","15,010",199,320,0,0,277,0,44,0,0,"49,364"
               Philippine State College of Aeronautics,446,449,565,0,"1,220",115,0,1,"1,287",157,91,0,228,877,28,0,398,0,0,0,39,0,0,"5,901"
               Polytechnic University of the Philippines,"1,225","6,314","1,780",50,"19,746",266,0,0,"37,605","3,500",162,0,"2,051","25,658",0,0,"3,539",0,0,0,0,0,0,"101,896"
               Rizal Technological University,858,520,260,0,"1,727",26,0,0,"7,648",554,91,0,395,"6,886",42,67,716,0,0,0,1,0,0,"19,791"
               Technological University of the Philippines,"1,990","1,520","2,550",0,"12,950",0,0,"1,800","24,373","2,220",120,0,740,"25,200",0,0,"3,110",0,0,0,0,0,0,"76,573"
               University of the Philippines System,"10,869","15,122","11,502",338,"41,469","4,914",9,"1,500","61,662","75,688","52,125",0,"4,905","34,135","5,005",343,"3,181",0,"2,016",0,430,0,0,"325,213"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"9,555","4,551","18,573",142,"45,532",122,0,861,"29,057","3,852",645,0,"1,493","39,607",725,89,"3,271",0,522,0,333,2,0,"158,932"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"3,927","2,167","5,468",0,"16,218",0,0,0,"8,022","1,170",0,0,402,"13,097",0,0,962,0,18,0,0,0,0,"51,451"
               Ilocos Sur Polytechnic State College,958,244,305,0,"3,588",0,0,0,539,395,297,0,94,"1,456",0,0,0,0,0,0,0,0,0,"7,876"
               Mariano Marcos State University,949,516,"3,151",111,"7,924",15,0,861,"6,991",497,26,0,523,"18,905",205,27,831,0,91,0,25,0,0,"41,648"
               Pangasinan State University,"2,470",893,"7,322",29,"7,101",35,0,0,"5,842","1,483",34,0,214,"5,213",9,22,971,0,142,0,100,2,0,"31,882"
               University of Northern Philippines,"1,251",731,"2,327",2,"10,701",72,0,0,"7,663",307,288,0,260,936,511,40,507,0,271,0,208,0,0,"26,075"
,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"5,664","1,287","9,607",175,"26,722",214,0,141,"8,576","12,566",762,0,615,"23,543","1,564",72,"1,057",0,52,0,"1,363",0,0,"93,980"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"1,346",159,733,16,"3,486",0,0,20,711,257,0,0,442,"1,990",11,6,291,0,0,0,111,0,0,"9,579"
               Apayao State College,307,106,297,7,"1,464",0,0,0,226,220,68,0,61,"1,541",21,0,259,0,4,0,52,0,0,"4,633"
               Benguet State University,"1,388",699,"6,049",47,"7,377",196,0,0,"4,905","5,135",122,0,0,"9,332","1,300",50,0,0,0,0,860,0,0,"37,460"
               Ifugao State University (Ifugao State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Agriculture and Forestry),708,137,321,105,"3,831",0,0,121,908,190,90,0,0,"3,164",57,0,0,0,35,0,0,0,0,"9,667"
               Kalinga-Apayao State College,538,109,825,0,"2,693",18,0,0,927,584,240,0,88,"1,976",175,16,507,0,13,0,168,0,0,"8,877"
               Mountain Province State Polytechnic College,"1,377",77,"1,382",0,"7,871",0,0,0,899,"6,180",242,0,24,"5,540",0,0,0,0,0,0,172,0,0,"23,764"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"6,085","4,485","7,780","1,040","28,968",193,0,0,"15,829","8,276",819,0,903,"47,424",338,232,"3,868",0,532,0,574,0,0,"127,346"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),44,189,244,0,"1,076",0,0,0,156,113,65,0,9,59,37,2,0,0,15,0,0,0,0,"2,009"
               Cagayan State University,"1,736","1,459","1,943",19,"14,037",0,0,0,"5,006","1,286",145,0,261,"21,546",38,110,815,0,77,0,89,0,0,"48,567"
               Isabela State University,"2,933","1,754","3,874",84,"7,783",162,0,0,"5,024","5,927",290,0,452,"17,886",194,97,"2,006",0,273,0,321,0,0,"49,060"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"1,080",989,"1,148",937,"4,880",30,0,0,"4,747",870,245,0,68,"6,182",31,19,"1,047",0,165,0,128,0,0,"22,566"
               Quirino State College,292,94,571,0,"1,192",1,0,0,896,80,74,0,113,"1,751",38,4,0,0,2,0,36,0,0,"5,144"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"9,520","4,484","15,057",856,"70,611",784,0,237,"65,293","49,238","4,491",0,"4,475","41,020",789,601,"1,339",0,610,0,"2,410",0,0,"271,815"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,687,226,356,15,"1,524",171,0,5,921,"1,385",98,0,95,"3,117",54,11,239,0,53,0,248,0,0,"9,205"
               Bataan Peninsula State University,"1,175",796,"2,321",711,"10,010",92,0,0,"3,382","1,226",144,0,240,"1,644",0,0,0,0,52,0,0,0,0,"21,793"
               Central Luzon State University,923,215,751,0,"12,011",14,0,0,"12,658","6,726",0,0,"1,177","8,141",145,5,9,0,0,0,744,0,0,"43,519"
               Bulacan State University,"1,264",785,"1,870",0,"6,537",0,0,0,"14,603","2,663","3,261",0,114,"8,321",0,39,0,0,13,0,179,0,0,"39,649"
               Bulacan Agricultural State College,183,207,"1,072",0,550,0,0,0,"1,383",620,113,0,40,326,14,17,56,0,0,0,16,0,0,"4,597"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),410,298,"1,140",0,"3,459",0,0,220,830,"6,402",110,0,85,"2,591",0,0,0,0,95,0,0,0,0,"15,640"
               Nueva Ecija University of Science and Technology,884,169,"2,594",30,"7,825",361,0,0,"7,452","1,755",97,0,"1,179","1,750",18,435,1,0,0,0,189,0,0,"24,739"
               Pampanga Agricultural College,504,341,316,0,"2,001",7,0,11,"3,034","1,131",146,0,170,"1,531",12,22,552,0,0,0,319,0,0,"10,097"
               Philippine Merchant Marine Academy,"1,013",333,"1,086",16,"18,207",0,0,0,"7,900",156,110,0,663,"4,640",17,2,84,0,195,0,32,0,0,"34,454"
               Ramon Magsaysay Technological University,"1,062",394,"2,613",84,"4,893",130,0,0,"2,921","25,437",180,0,191,"1,445",24,42,106,0,1,0,445,0,0,"39,968"
               Tarlac College of Agriculture,389,199,608,0,"2,144",0,0,0,"2,683",260,122,0,234,288,185,11,70,0,117,0,74,0,0,"7,384"
               Tarlac State University,"1,026",521,330,0,"1,450",9,0,1,"7,526","1,477",110,0,287,"7,226",320,17,222,0,84,0,164,0,0,"20,770"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"8,771","5,668","17,777",54,"48,434",141,0,845,"33,480","29,451","8,488",0,"3,942","32,642","1,568",106,284,0,614,0,892,0,0,"193,157"
