particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,"ldrrmf_mitigation_fund_70_percent
",ndrrmf_grants,from_other_lgu,from_other sources,total
Sources of Funds,Current Appropriation,5316000,10363223,-,-,-,15679223
Sources of Funds,Continuing Appropriation,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriation transferred to the Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfer or Grants,-,-,-,-,-,-
Total Funds Available,-,5316000,10363223,-,-,-,15679223
Utilization,Medicines and Food Supplies,994955,-,-,-,-,2725212.1
Utilization,Repair of Evacuation Center,-,1730257.1,-,-,-,991940.1
Utilization,Trainings,-,991940.1,-,-,-,2603907.55
Utilization,Construction of Evacuation Center,-,2603907.55,-,-,-,1293599
Utilization,Equipment,-,1293599,-,-,-,1836090
Utilization,Transfers to Other LGUs,-,1836090,-,-,-,-
Total Utilization,-,994955,8455793.75,-,-,-,9450748.75
