sugar_mills,warehouse_capacity_(LKg),metro_manila_address,metro_manila_contact_info,refinery_site_address,refinery_site_contact_info,president
Batangas Sugar ,150000 (main sugar refined warehouse),"9/F Fedman Bldg., Salcedo St. Legaspi Village, Makati City",-,"Barangay Caloocan, Balayan, Batangas 4213",Tel/Fax No. (043)2118601,Mr. Federico M. Serrano
"Biscom, Inc.",300000,"6/F Legaspi Towers 200, Paseo, De Roxas, M.C.","Tel. No. 817-1551-55, Fax No. 893-7455","Barangay San Vicente, Binalbagan, Negros Occidental","Tel. No. (034)3888-221/209, Fax No. (034) 3888-538",Mr. Jose L. Chan
"Busco Sugar Milling Co., Inc.",2000000,"4/F Corinthian Plaza Bldg., Paseo de Roxas, Legaspi, Village, Makati City","Tel. No. (02)817-8403, Fax No. (02)811-3219","Brgy. Butong, Quezon, Bukidnon",Tel/Fax No. (02)817-8403,"Mr. Roman H. Ozaeta, Jr., Chairman, BOD"
Central Azucarera,952640 (main sugar refined warehouse),"6/F CG Bldg., 101 Aguirre St., Legaspi Vill., Makati City","Tel. No.(02)810-8901-06, (02)810-9251 to 57, Fax No. (632)817-1875, (632)817-9247","Lumbangan, Nasugbu, Batangas","Tel. No.(043)931-2302-04, Fax No. (043)931-2327",Mr. Renato C. Valencia
"Cotabato Sugar Central Co., Inc.",748200,"173 P. Gomez St., San Juan, Metro Manila",Tel/Fax No. (02) 724-0266,"Kilada, Matalam, Cotabato","Tel. No. (082)234-1350, Fax No. (082)234-1350 loc. 11",Mr. Jonathan T. Gotianun
"Davao Sugar Central Co., Inc.",300000,"173 P. Gomez St., San Juan, Metro Manila","Tel. No. (02)727-0431, Fax No. 724-0266","Guihing, Hagonoy, Davao Del Sur","Tel. No. (082)234-0796, Fax No.(082)300-2447",Mr. Jonathan T. Gotianun
First Farmers Holding Corp.,700000,"Unit 406 City Land 10 Tower II, H.V. de la Costa St., Makati","Tel. No. (02)894-2106, Fax Tel. (02)892-0798","Dos Hermanas, Talisay City, Negros Occidental",Tel. No. 476-3567,Mr. Jose Ma. A. Villanueva
"Hideco Sugar Milling Co., Inc.",520000,"19/F Citibank Tower, Paseo De Roxas, Makati City","Tel. No. (02)848-1181-84, Fax No. (02)848-1185","Montebello, Kananga Leyte","Tel. No. (053)553-0058, Fax No.(053)553-0038","Mr. Giorgidi B. Aggabao, Vice President"
Lopez Sugar Corp.,50000,"3/F Optima Bldg., 221 Salcedo St., Legaspi Vill., Makati City","Tel No. 892-3548, Fax No. 8938490","Fabrica, Sagay City, Negros Occidental","Tel. No. (034)488-0022, Fax No. (034)488-0021",Ms. Mary Ann Cooper-Pernas
Luisita Sugar Refinery,90000 (main sugar refined warehouse),"JCS Bldg., 119 Dela Rosa St. Legaspi Village, Mkt. City","Tel.No. (02)818-3911, Fax Tel. (632)818-6270","San Miguel, Tarlac City","Tel. No.(045)491-1056, Fax No. (045)491-1057","Mr. Herman M. Gregorio, Resident Manager"
Universal Robina Corp. (CARSUMCO),60000 (main sugar refined warehouse),"Rm. 2201 Robinsons Equi-table Tower, No. 4 ADB Ave., cor Poveda St., Ortigas Center, Pasig City","Tel. No. (02)637-5021, 637-5398, Fax No. 3952849","Sto. Domingo, Piat, Cagayan",-,Mr. Renato P. Cabati
Universal Robina Corp. (SONEDCO),300000,"Rm. 2201 Robinsons Equi-table Tower, No. 4 ADB Ave., cor. Poveda St., Ortigas Center, Pasig City",-,"San Juan, Camugao, Kabankalan City, Negros Occidental",Tel No. 0919-5400-662,Mr. Renato P. Cabati
Universal Robina Corp. (URSUMCO),100000 (main sugar refined warehouse),"Rm. 2201 Robinsons Equi-table Tower, No. 4 ADB Ave., cor. Poveda St., Ortigas Center, Pasig City",,"Alangilanan, Manjuyod, Negros Oriental",Tel/Fax No. 402-4081,Mr. Renato P. Cabati
"Victorias Milling Corp., Inc.",300000 (main sugar refined warehouse),"9126 Sultana St., Corner Honradez St., Brgy. Olympia, Makati City","Tel. No. (02)896-0381, Fax No.(02)895-4150","Vicmico, Victorias City, Negros Occidental","Tel. No. (034)3993378, Fax No. (034)3993675",Mr. Hubert D. Tubio
