region,gender,2011_gross_enrollment_ratio,2011_net_enrollment_ratio,2010_gross_enrollment_ratio,2010_net_enrollment_ratio,2009_gross_enrollment_ratio,2009_net_enrollment_ratio,2008_gross_enrollment_ratio,2008_net_enrollment_ratio,2007_gross_enrollment_ratio,2007_net_enrollment_ratio,2006_gross_enrollment_ratio,2006_net_enrollment_ratio,2005_gross_enrollment_ratio,2005_net_enrollment_ratio
I (Ilocos Region),Total,0.9945,0.8775,0.9842,0.8642,0.9847,0.8597,0.9838,0.8595,0.9805,0.8497,0.9832,0.8512,0.9084,0.7876
I (Ilocos Region),Female,0.9847,0.8822,0.9746,0.8697,0.9772,0.8667,0.9781,0.8681,0.975,0.8593,0.9783,0.8608,0.8922,0.7877
I (Ilocos Region),Male,1.0035,0.8732,0.9931,0.8591,0.9917,0.8533,0.9891,0.8515,0.985,0.8408,0.9876,0.8422,0.9239,0.7875
II (Cagayan Valley),Total,1.0686,0.9345,1.0504,0.8955,1.0447,0.9022,1.0413,0.8958,1.0302,0.8881,1.0276,0.887,0.8856,0.7651
II (Cagayan Valley),Female,1.0632,0.9455,1.0462,0.9066,1.0414,0.9146,1.0378,0.9088,1.0314,0.9038,1.0284,0.9021,0.8759,0.7694
II (Cagayan Valley),Male,1.0736,0.9243,1.0542,0.8852,1.0477,0.8905,1.0447,0.8836,1.0291,0.8735,1.0269,0.873,0.8948,0.761
III (Central Luzon),Total,0.9185,0.804,0.919,0.7944,0.9244,0.7979,0.9244,0.8021,0.9264,0.8017,0.9295,0.8047,0.9197,0.7989
III (Central Luzon),Female,0.9131,0.8106,0.9142,0.8022,0.9187,0.8052,0.9192,0.81,0.9241,0.8122,0.9263,0.8148,0.9081,0.8011
III (Central Luzon),Male,0.9235,0.7978,0.9234,0.7872,0.9297,0.791,0.9292,0.7946,0.9286,0.7918,0.9324,0.7953,0.9307,0.7967
IV-A (CALABARZON),Total,0.879,0.7492,0.8743,0.7407,0.8791,0.74,0.8848,0.7463,0.8905,0.7526,0.8984,0.762,0.936,0.7977
IV-A (CALABARZON),Female,0.8718,0.7557,0.8697,0.749,0.8742,0.7485,0.8801,0.756,0.8871,0.763,0.8953,0.7725,0.9268,0.8029
IV-A (CALABARZON),Male,0.8858,0.743,0.8786,0.733,0.8837,0.7319,0.8893,0.7372,0.8936,0.743,0.9014,0.7521,0.9448,0.7928
