particulars_1,particulars_2,ldrrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,13762800,32113200,-,-,-,45876000
Sources of Funds,Continuing Appropriations,-,9746648,-,-,-,9746648
Sources of Funds,Previous Year's Appropriation Transferred (CY 2012) ,-,18251229.23,-,-,-,18251229.23
Sources of Funds,to the Special Trust Fund (CY 2013),12096804.9,2036165.09,-,-,-,14132969.99
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,25859604.9,62147242.32,-,-,-,88006847.22
Utilization,Equipment,-,-,-,-,-,-
Utilization,Construction and Heavy Equipment,-,11490000,-,-,-,11490000
Utilization,Other Structure,-,1997000,-,-,-,1997000
Utilization,"Irrigations, Canals, and Waterways, Flood Controls",-,1979588,-,-,-,1979588
Utilization,CIP-Flood Controls,-,2796860,-,-,-,2796860
Utilization,Subsidy to  Other Funds,-,2091055,-,-,-,2091055
Utilization,Medicines,-,1015000,-,-,-,1015000
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,4970200,-,-,-,4970200
Utilization,Transferred to other LGU's ,-,-,-,-,-,-
Utilization,Other MOOE,-,210967,-,-,-,210967200
Utilization,Total Utilization,-,26550670,-,-,-,26550670
Utilization,Unutilized Balance,25859604.9,35596572.32,-,-,-,61456177.22
