particulars_1,particulars_2,ldrrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,13762800,32113200,-,-,-,45876000
Sources of Funds,Continuing Appropriations,-,9746648,-,-,-,9746648
Sources of Funds,Previous Year's Appropriation Transferred (CY 2012) ,-,18251229.23,-,-,-,18251229.23
Sources of Funds,to the Special Trust Fund(CY 2013),-,14132969.99,-,-,-,14132969.99
Sources of Funds,Transfers or Grants,-,3300949.77,-,-,-,3300949.77
Sources of Funds,Total Funds Available,13762800,77544996.99,-,-,-,91307796.99
Utilization,Equipment,-,-,-,-,-,-
Utilization,Construction and Heavey Equipment,-,11490000,-,-,-,11490000
Utilization,Watercrafts,-,267500,-,-,-,267500
Utilization,Other Structure,-,1983158,-,-,-,1983158
Utilization,"Irrigations, Canals, and Waterways, Flood Controls",-,3959176,-,-,-,3959176
Utilization,"CIP-Waterways, Aqueducts, Seawall, Riverwalls, etc.",-,2796860,-,-,-,2796860
Utilization,CIP-Flood Controls,-,2091055,-,-,-,2091055
Utilization,Subsidy to  Other Funds,-,1015000,-,-,-,1015000
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,6967200,-,-,-,6967200
Utilization,Telephone Expenses Mobile,-,21247,-,-,-,21247
Utilization,Rep and Maintenance- Watercrafts,-,70800,-,-,-,70800
Utilization,Transferred to other LGU's ,-,-,-,-,-,-
Utilization,Other MOOE,-,5721842.8,-,-,-,5721842.8
Utilization,Total Utilization,-,36560838,-,-,-,36560838.8
Utilization,Unutilized Balance,13762800,40984158.19,-,-,-,54746958.19
