particulars_1,particulars_2,account_code,quick_response_fund,mitigation_fund_mooe,total
Funds Available,Current Appropriation,-,12096804.9,28225878.1,40322683
Funds Available,Continuing Appropriation(2012),-,5109462,11922078,17031540
Funds Available,Total Funds Available,-,17206266.9,40147956.1,57354223
Expenditures,Office Equipment,221,-,-,-
Expenditures,IT Equipment and Software,223,49787,-,49787
Expenditures,Hospital Equipment,232,-,-,-
Expenditures,"Public Infrastructures- Roads, Highways and Bridges",251,-,-,-
Expenditures,"Public Infrastructure- Irrigation, Canal and Waterways",255,-,-,-
Expenditures,"Public Infrastructure- Waterways, Aqueduct, Seawalls, Riverwalls and Others",257,-,-,-
Expenditures,"Public Infrasturture- Irrigation, Canals and Waterways",270,-,746980,-
Expenditures,Travelling Expense,751,-,-,-
Expenditures,Repair and Maintenance- Office Equipment,821,-,-,-
Expenditures,Repair and Maintenance- Furniture and Fixture,822,-,-,-
Expenditures,Repair and Maintenance- IT Equipment and Software,823,-,-,-
Expenditures,Repair and Maintenance- Const. and Heavy Equipment,830,-,-,-
Expenditures,Subsidy to LGU's,874,-,-,-
Expenditures,Other MOOE,969,15000,-,15000
Expenditures,Total Expenditures,-,15000,746980,761980
Unexpended Balance as of March 31 2013,Unexpended Balance as of March 31 2013,-,17191266.9,39400976.1,56592243
