particulars_1,particulars_2,as_of_june_2015,as_of_june_2014,increase_or_decrease_number,increase_or_decrease_percentage,,
Corporate Taxpayers,Corporate Taxpayers,779444,745340,34104,4.58,,
Corporate Taxpayers,Taxable,573271,551911,21360,3.87,,
Corporate Taxpayers,Exempt,197267,186046,11221,6.03,,
Corporate Taxpayers,Non-Resident Foreign Corporations,8906,7383,1523,20.63,,
Individual taxpayers,Individual taxpayers,15990537,14932267,1058270,7.09,,
Individual taxpayers,Compensation Income Earners,13519277,12614313,904964,7.17,,
Individual taxpayers,Business/Professionals,282475,253563,28912,11.4,,
Individual taxpayers,Single Proprietorship,2130584,2006560,124024,6.18,,
Individual taxpayers,OFW/Non-Resident Citizen,58201,57831,370,0.64,,
Estate and Trust Taxpayers,Estate and Trust Taxpayers,36748,33557,3191,9.51,,
Marginal Income Earners,Marginal Income Earners,134625,131266,3359,2.56,,
One Time Taxpayer (ONETT),One Time Taxpayer (ONETT),3455571,3183543,272028,8.54,,
Others (Executive Order No. 98),Others (Executive Order No. 98),5741103,5129670,611433,11.92,,
Total,Total,26138028,24155643,1982385,8.21,,
