month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
January,03:00 - 03:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January,04:00 - 04:59,0.01%,0.00%,0.06%,0.00%,0.17%,0.00%,0.12%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January,05:00 - 05:59,3.56%,0.15%,2.85%,0.34%,3.61%,0.49%,2.95%,0.52%,1.20%,0.67%,0.53%,0.97%,1.48%,1.15%,1.15%,1.80%,1.34%,1.46%,0.59%,2.10%,0.51%,1.81%,1.16%,3.00%,1.56%,1.15%
January,06:00 - 06:59,8.18%,1.99%,7.86%,3.12%,8.11%,3.40%,5.22%,2.66%,3.23%,3.59%,2.12%,3.23%,3.96%,3.63%,4.09%,4.44%,4.97%,3.75%,1.95%,7.28%,1.85%,5.16%,3.80%,7.57%,4.51%,3.78%
January,07:00 - 07:59,11.79%,3.09%,10.53%,6.37%,9.04%,7.20%,5.02%,4.30%,4.89%,9.29%,4.04%,8.04%,6.36%,7.19%,7.36%,8.61%,8.06%,5.35%,3.49%,14.56%,2.96%,8.54%,6.69%,12.85%,7.95%,5.63%
January,08:00 - 08:59,11.36%,3.54%,9.19%,6.93%,7.70%,7.00%,5.34%,4.91%,5.91%,12.28%,4.50%,11.66%,6.41%,8.95%,7.05%,9.24%,8.34%,6.03%,3.11%,15.59%,2.68%,9.52%,6.58%,13.61%,8.32%,5.79%
January,09:00 - 09:59,8.50%,4.37%,7.33%,5.57%,7.11%,5.80%,6.10%,5.03%,5.79%,12.78%,3.94%,10.83%,5.96%,8.60%,6.03%,8.19%,7.84%,5.98%,3.38%,10.48%,2.82%,9.79%,5.70%,9.88%,6.95%,6.00%
January,10:00 - 10:59,6.17%,4.03%,6.01%,4.28%,5.97%,4.83%,6.32%,5.16%,5.38%,9.75%,3.58%,7.22%,5.08%,6.75%,5.03%,5.74%,6.38%,5.26%,3.63%,6.42%,2.99%,7.08%,4.68%,6.07%,5.92%,5.57%
January,11:00 - 11:59,5.87%,4.55%,5.76%,4.00%,5.86%,4.29%,7.24%,5.83%,5.79%,6.57%,4.08%,6.95%,5.32%,6.29%,5.10%,4.82%,6.25%,5.23%,3.92%,4.86%,3.45%,7.28%,4.38%,5.17%,5.68%,5.67%
January,12:00 - 12:59,5.28%,4.78%,5.36%,4.21%,5.57%,4.14%,5.95%,4.89%,5.36%,5.42%,4.34%,6.31%,5.48%,5.81%,5.04%,4.59%,6.11%,5.01%,4.13%,4.68%,4.06%,6.13%,4.37%,4.66%,5.70%,5.82%
January,13:00 - 13:59,4.75%,4.52%,4.99%,4.47%,5.01%,4.57%,7.65%,6.45%,5.65%,5.67%,4.61%,6.00%,5.48%,5.70%,5.06%,5.08%,5.87%,4.99%,4.07%,5.29%,4.48%,5.47%,4.29%,4.74%,5.55%,5.91%
January,14:00 - 14:59,4.23%,5.00%,4.76%,4.51%,5.04%,4.71%,7.07%,6.61%,6.21%,5.30%,5.78%,5.35%,5.72%,5.23%,5.40%,4.59%,5.82%,5.16%,5.37%,4.43%,5.11%,4.98%,4.73%,4.23%,5.45%,5.94%
January,15:00 - 15:59,3.86%,5.93%,4.74%,5.03%,5.38%,4.97%,5.97%,6.27%,6.67%,4.82%,6.75%,5.09%,6.17%,5.30%,5.78%,4.73%,5.67%,5.63%,6.63%,3.42%,6.22%,4.53%,5.13%,4.09%,5.85%,6.04%
January,16:00 - 16:59,4.01%,7.03%,5.62%,5.94%,6.08%,6.44%,5.93%,6.75%,8.13%,4.41%,8.14%,4.87%,6.78%,5.34%,6.42%,5.11%,6.15%,6.53%,8.76%,2.88%,8.12%,4.75%,6.98%,4.22%,6.44%,6.58%
January,17:00 - 17:59,4.62%,9.16%,7.13%,8.25%,8.55%,8.40%,6.54%,8.05%,11.57%,4.60%,11.63%,5.21%,8.19%,6.11%,8.71%,5.84%,7.01%,8.18%,13.70%,3.00%,9.60%,5.64%,10.69%,4.84%,7.28%,7.74%
January,18:00 - 18:59,4.67%,10.98%,6.59%,9.76%,6.23%,9.26%,6.86%,8.64%,9.26%,4.49%,13.13%,5.65%,8.77%,6.63%,9.21%,6.99%,6.18%,9.05%,14.60%,3.12%,11.80%,5.98%,11.33%,4.58%,7.19%,8.45%
January,19:00 - 19:59,4.67%,10.86%,4.77%,9.72%,4.59%,8.95%,5.92%,8.45%,6.50%,4.01%,9.71%,4.80%,7.21%,6.27%,7.28%,7.06%,5.01%,8.38%,10.71%,2.95%,11.67%,5.12%,8.56%,3.76%,6.31%,7.70%
