function_or_program_or_project_or_activity,appropriations,allotment,appropration_balance,obligations,unobligated_balance
Logo Find-Assisted Infrastructure and Environmental Projects (Heavy Equipment and Shoreline Protection),8100000,8100000,-,3653612.63,4446387.37
Payment of Loan for the Construction of Oroquieta Town center (PNB Loan),32744000,32744000,-,18755997,23225773.78
Payment for Build Transfer (BT) Project-Construction of San Vicente Bajo Pier extension and Adminstaion Building,10072110,10072110,-,10000000,72110
Installation and Maintenance of Lighting Facilities of Public Plaza,1500000,1500000,-,1498000,2000
Construction of Additional Halang-halang Stalls,75500,75500,-,74695.89,804.11
Improvement of Drainage System (RC Box culvert across Catane Extension Open Canal along Semona Marapao St. Lower Langcangan,1000000,1000000,-,997329.37,33952.37
Construction of Two Storey Multi-Purpose Hall (Phase III)-Poblacion II,500000,500000,-,-,500000
Construction of Multi-Purpose Hall (Phase II)-Taboc Sur,500000,500000,-,-,500000
Construction of Health Center at Lower Rizal,540000,540000,-,524492.12,213132.35
"Construction of Covered Pathway, Villaflor Elementary School",150000,150000,-,116733,150000
Construction of Oro Extreme ZIP (Additional),90000,90000,-,75261,26140
"Renovation of BSP Facilities, Punta Blanca, Canubay",700000,700000,-,695183.72,26140
Construction of Oro-extreme Zip Phase III,3500000,3500000,-,-,26140
Total-20% Local Development Program,59471610,59471610,-,36391304.73,29222579.98
