function_progrom_project_activity_1,function_progrom_project_activity_2,appropriation,allotment,approp_balance,obligations,unobligated_balance
5% Calamity Fund,5% Calamity Fund,6634717,6634717,-,497526.09,-6137190.91
5% Calamity Fund,Mitigation Non structural,1500000,1500000,-,104500,1395500
5% Calamity fund-Capital Outlays,Rescue vehicles or Equip or AED,689341,689341,-,94420,-594921
5% Calamity fund-Capital Outlays,Training Equipment,20000,20000,-,-,20000
5% Calamity fund-Capital Outlays,Office Equipment or  Furniture and Fixture,50000,50000,-,-,50000
5% Calamity fund-Capital Outlays,IT Equipment and Software( Computer Set and Aircon Unit),50000,50000,-,-,50000
5% Calamity fund-Capital Outlays,Documentation or  Communication,25000,25000,-,-,25000
5% Calamity fund-Capital Outlays,Office Improvement,30000,30000,-,-,30000
5% Calamity fund-Capital Outlays,Mitigation structural,-,-,-,-,-
Two(2) Barrel Box Culvert w or  Concreting of Approach- Bunga,Two(2) Barrel Box Culvert with Concreting of Approach- Bunga,2350000,2350000,-,2336384.49,13615.51
"Improvement of Drainage System( Replacement of 36"" RCPC Box Culvert across Judge Malcolm Enerio st. Proper Lancangan","Improvement of Drainage System( Replacement of 36"" RCPC Box Culvert across Judge Malcolm Enerio st. Proper Lancangan",1600000,1600000,-,1437021.88,162978.12
Improvement of Drainage System RC Box Culvert and Covered Canal along Paseo de Oroq.-Catane st. Pob. I,Improvement of Drainage System RC Box Culvert and Covered Canal along Paseo de Oroq.-Catane st. Pob. I,500000,500000,-,482730.85,17269.15
Improvement of Drainage system ( Replacement of 2 lines culvert pipes to 2 units RC Box culvert across Cong. G. Sambo- Lower Lamac,Improvement of Drainage system ( Replacement of 2 lines culvert pipes to 2 units RC Box culvert across Cong. G. Sambo- Lower Lamac,1500000,1500000,-,1426305.97,73694.03
Total,Total,14949058,14949058,-,6378889.28,870168.72
