particulars_1,particulars_2,particulars_3,lrrrmf_quick_response_fund_30_percent,lrrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total,,
Sources of Funds,Current Appropriations,Current Appropriations,5301360,12369822,-,-,-,17671182,,
Sources of Funds,Continuing Appropriations (Transferred to Trust Fund),Continuing Appropriations (Transferred to Trust Fund),-,-,-,-,-,-,,
Sources of Funds,Transfers or Grants,Transfers or Grants,-,-,-,-,-,-,,
Total Funds Available,Total Funds Available,Total Funds Available,5301360,12369822,-,-,-,17671182,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Traveling Expenses,-,19664,-,-,-,19664,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Trainings Expenses,-,124618.52,-,-,-,124618.52,, 
Utilization,Preparedness-Maintenance and Other Operating Expenses,Office Supplies Expenses,-,21087.47,-,-,-,21087.47,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Other Supplies Expenses (First Aid Supplies),-,32723,-,-,-,32723,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants",-,125336.42,-,-,-,125336.42,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Telephone-Landline and Internet Expenses       ,-,17663.14, ,-,-,17663.14,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Telephone Expenses-Mobile,-,6000,-,-,-,6000,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Repair and Maintenance,-,-,-,-,-,-,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,"Motor Vehicles-RJs or Bonggos or Ambulance, Etc.",-,92086,-,-,-,92086,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Communication Equipment (Portable Radios or Base or Antennas or etc.),-,2450,-,-,-,2450,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,-,-,-,-,-,-,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Meetings or Celebrations,-,33100,-,-,-,33100,,
Utilization,Preparedness-Maintenance and Other Operating Expenses,Documentation [Gawad Kalasag or IEC] Monitoring,-,439851.2,-,-,-,439851.2,,
Utilization,Preparedness-Capital Outlays,Office Equip [Fax Machine and Photocopier],-,59100,-,-,-,59100,,
Utilization,Preparedness-Capital Outlays,"Purchase of Automated External Defibrillator (AED) and Other Machinery Equip [WM or AS or PS or HD or Grinder, WRs and Consumables",-,68253,-,-,-,68253,,
Utilization,Preparedness-Capital Outlays,Purchase of 1 Additional Chainsaw (STIHL  MS 440 rescue),-,62060,-,-,-,62060,,
Mitigation,Structural or Engineering (Capital Outlay),Structural or Engineering (Capital Outlay),-,-,-,-,-,-,,
Mitigation,Non-Structural (Greening Program),Non-Structural (Greening Program),-,-,-,-,-,-,,
Disaster or Emergency Response (30% QRF),Disaster or Emergency Response (30% QRF),Disaster or Emergency Response (30% QRF),613182,-,-,-,-,613182,,
Post Disaster or Rehabilitation,Post Disaster or Rehabilitation,Post Disaster or Rehabilitation,-,-,-,-,-,-,,
Total Utilization,Total Utilization,Total Utilization,613182,1103992.75,-,-,-,1717174.75,,
Unutilized Balance,Unutilized Balance,Unutilized Balance,4688178,11265829.25,-,-,-,15954007.25,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"(SGD.) KANE ALFONSO P. IYOG, CPA, MBM",,,,
,,,,,,City Accountant,,,,
