function_program_project_activity_1,function_program_project_activity_2,appropriation,allotment,approp_balance,obligations,unobligated_balance
5% CDRRMF - Preparedness,5% CDRRMF - Preparedness,2205000,2205000,-,390316.33,1814683.67
5% CDRRMF - Capital Outlays,Purchase of two(2) units Fire Trucks and Bucket Trucks,4000000,4000000,-,4000000,-
5% CDRRMF - Capital Outlays,"Purchase of Sound System, Still and Camera video wall",1300000,1300000,-,-,1300000
5% CDRRMF - Capital Outlays,Office Equipment with Furniture and Fixture - 4 Aircon Units (1 HP Window Type),350000,350000,-,29900,320100
5% CDRRMF - Capital Outlays,"IT Equipment and Software (2 Sets of PC with Printers) and 47"" Flat Screen TV Monitor",270000,270000,-,40000,230000
5% CDRRMF - Capital Outlays,Purchase of Rescue Vehicle  or Equipment  - AED or Scuba Diving Gears and training certificate,400000,400000,-,-,400000
5% CDRRMF - Capital Outlays,Installation of Disaster Hotlines 143,200000,200000,-,-,200000
5% CDRRMF - Capital Outlays,Documentation or Communication,25000,25000,-,-,25000
5% CDRRMF - Capital Outlays,Office Improvement or Repair ,300000,300000,-,-,300000
Mitigation,Structure or Engineering (Capital Outlay),2000000,2000000,-,-,2000000
Mitigation,Non - Structural (Greening Program),195641,195641,-,-,195641
Mitigation,Disaster or Emergency Response (30%),4905280,4905280,-,-,4905280
Mitigation,Post Disaster or Rehabilitation,200000,200000,-,-,200000
Grand Total,Grand Total,16350921,16350921,-,4460216.33,11890704.67
