particulars_1,particulars_2,ldrrmf_mitigation_fund_70%,ldrrmf_quick_response_fund_(qrf)_30%,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,13136719.9,5630017.1, - , - , - ,18766737
Sources of Funds,Continuing Appropriations,-,-, - , - , - ,-
Sources of Funds,Previous Year's Appropriations ntransferred to the Special Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Total Funds Available,Total Funds Available,13136719.9,5630017.1, -   , -   , -   ,18766737
Utilization,Medicines,891466,-, - , - , - ,891466
Utilization,Foods,-,907532.25, - , - , - ,-
Utilization,Agricultural,1781809.5,-, - , - , - ,1781809.5
Utilization,Repair of Roads,6352815.63,4179722.88, - , - , - ,10532538.51
Utilization,Trainings,-,-, - , - , - ,0
Utilization,Construction of Evacuation Center,-,-, - , - , - ,0
Utilization,Equipment,-,-, - , - , - ,0
Utilization,Transfers to other LGUs,-,-, - , - , - ,0
Utilization,Equipment,71780,-, - , - , - ,-
Utilization,Office Supplies,9733.3,-, - , - , - ,-
Utilization,Electrical Supplies,-,748128.25, - , - , - ,-
Utilization,Travel,46400,-, - , - , - ,-
Total Utilization,Total Utilization,9154004.43,5835383.38, -   , -   , -   ,13205814.01
Unutilized Balance,Unutilized Balance,3982715.47,-205366.28, -   , -   , -   ,5560922.99
