particular_1,particular_2,particular_3,amount
Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,299738862
Calamity Fund,Calamity Fund,Calamity Fund,14986943.1
Less Disbursement,Pre-Disaster Preparedness Program,Pre-Disaster Preparedness Program,-
Less Disbursement,Pre-Disaster Preparedness Program,"Support Training at Mt. Data, Mr. Province",141291
Less Disbursement,Pre-Disaster Preparedness Program,Preparedness Training or Preparation andPresentation of DRRM ,138450
Less Disbursement,Pre-Disaster Preparedness Program,Emergency Shelter Assistance or Medicines,12865
Less Disbursement,Pre-Disaster Preparedness Program,Office of CSWD,59436
Less Disbursement,Post-Disaster Programs,Post-Disaster Programs,-
Less Disbursement,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,-
Balance,Balance,Balance,14634901.1
