particular_1,particular_2,ldrrmf_quick_response_fund_30%,ldrrmf_mitigation_fund_70%,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriation,13136719.9,5630017.1,-,-,-,18766737
Sources of Funds,Continuing Appropriation,-,-,-,-,-,-
Sources of Funds,Previous year's Appropriations transferred to the Speciasl Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or grants,-,-,-,-,-,-
Total Funds Available,Total Funds Available,13136719.9,5630017.1,-,-,-,18766737
Utilization,Medicines,595570,-,-,-,-,595570
Utilization,Agricultural,589406,-,-,-,-,589406
Utilization,Repair of canals or roads,3116560.36,-,-,-,-,3116560.36
Total Utilization,Total Utilization,4301536.36,-,-,-,-,4301536.36
Unutilized Balance,Unutilized Balance,8835183.54,5630017.1,-,-,-,14465200
