function_program_project_activity,authorized_appropriation,total_allotment,obligation,unobligated_balance
Loan Amortization,51070104.31,51070104.31,45566041.35,5504062.96
Coastal Fisheries Resources Management Program(CFRM),3500000,3500000,528000,2972000
Fisheries Production and Development,1500000,1500000,85829.5,1414170.5
Forest Management,570000,570000,-,570000
"Pollution Control and Waste Management Res. 031, Ord. '12-03",1217441.63,1217441.63,-,1217441.63
Organization and Capacity Development of E-code or IRR Implemenors,100000,100000,-,100000
Climate Change Advocacy,100000,100000,-,100000
Small Scale Mining and Regulation,160000,160000,35714.74,124285.26
Food Security Programs,18250000,18250000,11042391.38,7207608.62
Livestock Dispersal,2345000,2345000,40000,2305000
Tourism Development and Promotion,1900,1900,1727862.53,-1725962.53
PDPFP or PDIP Reproduction,150000,150000,31490,118510
Water Supply Projects,4000000,4000000,981649.32,3018350.68
Health Care and Indigency Program - Blood Assistance,1000000,1000000,999000,1000
Health Care and Indigency Program - Philhealth Counterpart,2492693.27,2492693.27,1211250,1281443.27
Health Care and Indigency Program - Health and Nutrition,1500000,1500000,106250,1393750
Provincial Counterpart to ILHZs - Maasin ILHZs,243346.01,243346.01,243346.01,0
Provincial Counterpart to ILHZs - Sogod ILHZs,243346.01,243346.01,243346.01,0
Provincial Counterpart to ILHZs - Pacific ILHZs,243346.01,243346.01,243346.01,0
Provincial Counterpart to ILHZs - Panaon ILHZs,486692.02,486692.02,486692.02,0
Infrastructure Support Projects,0,0,-,0
"Infrastructure Support Projects - Improvement of Tuburan-Malapoc-Matin-ao Rd. Maasin City, Res. 384 ' 12",2400000,2400000,-,2400000
"Infrastructure Support Projects - Rehab or Improvement of Pacu-San Rafael Rd. Maasin City, Res. 384 s'12",2600000,2600000,-,2600000
"Renovation of the Productivity Skills and Capability Bldg., Asuncion, Maasin City, SB # 4 Res. 181, Ord. '12-11, Res. 917 Ord. '12-57",507622.31,507622.31,507622.31,0
"Completion of the Multipurpose Livelihood and Training Center or Evacuation Center (Phase I) Brgy. Candayuman, Liloan Res. 300, Ord. 12-19, Res. 679 s'12",508000,508000,493645.5,14354.5
"Prov'l Counterpart for Rubber Tree Plantation - Nursery Establishment at SLSU-Hinunangan Campus, Hinunangan SB # 15, Res. 830, Ord. '12-51",1000074,1000074,-,1000074
"Const. of Drainage Canal, Canturing, Maasin City, Res. 917, Ord. '12-57",600000,600000,-,600000
"Const.of Drainage System, Gabriel St., Brgy. Sofia, P. Burgos, Res. 931, Ord. '12-59",600000,600000,-,600000
"Completion of Multi-Purpose Livelihood and Training Center or Evacuation (PhaseI), Brgy. San Isidro, Maasin City, Res. 932, Ord. '12-60",136000,136000,-,136000
"Const. of Multi-Purpose Livelihood and Training Center or Evacuation Center, Brgy. San Isidro, T.Oppus, Res. 797, Ord. '12-46, Res. 999, Ord.'12-74",200000,200000,-,200000
"Const. of Multi-Purpose Livelihood and Training Center or Evacuation Center, Brgy. Cansirong, Maasin City Res. 798,Ord. '12-47 Res. 999, Ord. '12-74",1690000,1690000,-,1690000
"Concreting of Brgy. Rd. Brgy. Maac, Sogod, Res. 934, Ord'12-61",520000,520000,-,520000
"Const. of Cause Way Brgy. Tigbao, Libagon, Res. 959, Ord. '12-63",320000,320000,-,320000
"Concreting of Tampoong Brgy. Rd. Sogod, Res. 598, Ord. '12-62",640000,640000,-,640000
"Concreting of San Roque-Guadalope Rd. Macrohon, Res. 1032, Ord. '12-83",650000,650000,-,650000
"Completion of Laca Portland Cement Concrete Pavement, Brgy. Laca, Padre Burgos, Res. 1033, Ord. '12-84",1570000,1570000,-,1570000
"Concreting of Dagohoy St., Zone I, Sogod, Res.963, rd. '12-67",580000,580000,-,580000
"Concreting of Mainit Brgy. Rd., Anahawan Res. 1031, Ord. '12-82",500000,500000,-,500000
"Concreting of San Pedro Brgy. Rd., San Pedro, Sogod, Res. 1038, Ord. '12-89",650000,650000,-,650000
"Concreting of Libas Brgy. Rd. Libas,Sogod, Res. 1038, Ord. '12-89",630000,630000,-,630000
"Concreting of Pandan Brgy. Rd., Brgy. Pandan, Sogod, Res. 1038, Ord. '12-89",650000,650000,-,650000
"Const. of Multi-Purpose Bldg. Roofing System (Phase I),Brgy. Tinago, Tomas Oppus, Res. 1034, Ord. '12-85 ",900000,900000,-,900000
Total 20% Economic Development Fund(2012),108923665.6,108923665.6,64573476.68,44350188.89
