selected_accounts_a,selected_accounts_b,selected_accounts_c,2006_March,2006_June,2006_Sept,2006_Dec,,,,,,,
ASSETS,ASSETS,ASSETS,"4,299.13","4,517.58","4,538.15","4,865.62",,,,,,,
ASSETS,ASSETS,CASH AND DUE FROM BANKS,385.68,421.436,453.361,633.13,,,,,,,
ASSETS,ASSETS,"TOTAL LOAN PORTFOLIO, GROSS","2,199.01","2,206.79","2,261.52","2,427.94",,,,,,,
ASSETS,ASSETS,   Interbank Loans Receivable,393.909,340.963,352.369,432.521,,,,,,,
ASSETS,ASSETS,   Loans and Discounts,"1,115.35","1,134.99","1,138.77","1,187.14",,,,,,,
ASSETS,ASSETS,   Agra/Agri Credit Loans,178.459,191.08,188.556,200.096,,,,,,,
ASSETS,ASSETS,   Development Incentive Loans,71.786,73.564,74.52,78.531,,,,,,,
ASSETS,ASSETS,   Bills Purchased,59.953,58.221,28.891,66.122,,,,,,,
ASSETS,ASSETS,   Customers' Liabilities - LC/TR,97.051,104.751,107.869,105.273,,,,,,,
ASSETS,ASSETS,   Customers' Liabilities - Accept O/S,7.594,7.299,7.015,7.544,,,,,,,
ASSETS,ASSETS,   Trading Account Securities - Loans,106.258,126.728,192.133,180.617,,,,,,,
ASSETS,ASSETS,   Underwriting Accounts,1.8,1.7,1.7,1.8,,,,,,,
ASSETS,ASSETS,   Restructured Loans,106.396,104.388,103.038,86.432,,,,,,,
ASSETS,ASSETS,   Credit Card Receivables,57.066,59.611,62.976,77.456,,,,,,,
ASSETS,ASSETS,   Microfinance Loans,3.396,3.498,3.688,4.407,,,,,,,
ASSETS,ASSETS,ACCUM. MARKET GAIN/LOSS - LOANS,0,0,0,0,,,,,,,
ASSETS,ASSETS,ALLOW. FOR PROBABLE LOSSES - LOANS,145.43,145.596,146.912,133.079,,,,,,,
ASSETS,ASSETS,"TOTAL LOAN PORTFOLIO, NET","2,053.58","2,061.19","2,114.61","2,294.86",,,,,,,
ASSETS,ASSETS,"TOTAL INVESTMENTS, GROSS","1,225.82","1,408.43","1,336.88","1,268.70",,,,,,,
ASSETS,ASSETS,  Underwriting Accounts - Equity Securities,0.05,0,0,0.102,,,,,,,
ASSETS,ASSETS,  Trading Account Securities - Investments,142.377,159.668,179.322,164.154,,,,,,,
ASSETS,ASSETS,  Trading Account Securities - Equity,0.19,0.18,0.352,0.309,,,,,,,
ASSETS,ASSETS,  Avaiable for Sale Securities (ASS),527.223,627.196,623.776,631.253,,,,,,,
ASSETS,ASSETS,  Investment in Bonds and Other Debt Instruments,449.664,508.53,432.103,367.374,,,,,,,
ASSETS,ASSETS,  Equity Investments - Allied/Non-Allied Undertakings,106.314,112.851,101.329,105.502,,,,,,,
ASSETS,ASSETS,ACCUM. MARKET GAIN/LOSS - INVESTMENTS,12.574,-3.333,11.039,29.011,,,,,,,
ASSETS,ASSETS,ALLOW. FOR PROBABLE LOSSES - INVESTMENTS,7.582,5.564,6.008,7.927,,,,,,,
ASSETS,ASSETS,"TOTAL INVESTMENTS, NET","1,230.81","1,399.53","1,341.91","1,289.78",,,,,,,
ASSETS,ASSETS,FIXED ASSETS,94.506,94.471,92.066,90.673,,,,,,,
ASSETS,ASSETS,"ROPOA, GROSS",232.966,229.863,230.467,217.239,,,,,,,
ASSETS,ASSETS,ALLOWANCE FOR PROBABLE LOSSES - ROPOA,22.302,21.254,22.208,18.559,,,,,,,
ASSETS,ASSETS,"ROPOA, NET",210.664,208.609,208.258,198.68,,,,,,,
ASSETS,ASSETS,OTHER ASSETS,323.892,332.347,327.938,358.499,,,,,,,
 LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL,"4,299.13","4,517.58","4,538.15","4,865.62",,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,Liabilities,"3,759.73","4,003.56","4,004.78","4,296.60",,,,,,,
 LIABILITIES AND CAPITAL,,DEPOSIT LIABILITIES,"2,968.10","3,221.22","3,264.70","3,497.56",,,,,,,
 LIABILITIES AND CAPITAL,,   Domestic,"2,106.10","2,281.82","2,338.57","2,567.75",,,,,,,
 LIABILITIES AND CAPITAL,,      Demand and Now,394.127,418.232,427.293,477.221,,,,,,,
 LIABILITIES AND CAPITAL,,      Savings,"1,206.44","1,311.09","1,350.55","1,401.07",,,,,,,
 LIABILITIES AND CAPITAL,,      Time,505.536,552.494,560.724,689.465,,,,,,,
 LIABILITIES AND CAPITAL,,   Foreign Currency,861.992,939.404,926.135,929.804,,,,,,,
 LIABILITIES AND CAPITAL,,BILLS PAYABLE,426.906,413.315,373.888,379.778,,,,,,,
 LIABILITIES AND CAPITAL,,   Deposit Substitutes,2.021,3.495,6.198,9.326,,,,,,,
 LIABILITIES AND CAPITAL,,   Others,424.885,409.821,367.691,370.452,,,,,,,
 LIABILITIES AND CAPITAL,,SPECIAL FINANCING,0.204,0.197,0.179,0.171,,,,,,,
 LIABILITIES AND CAPITAL,,   Time Certificates of Deposits - SF,0.104,0.103,0.102,0.099,,,,,,,
 LIABILITIES AND CAPITAL,,   Special Time Deposits,0.1,0.095,0.077,0.072,,,,,,,
 LIABILITIES AND CAPITAL,,UNSECURED SUBORDINATED DEBT,52.711,54.096,64.379,75.629,,,,,,,
 LIABILITIES AND CAPITAL,,OTHER LIABILITIES,311.812,314.733,301.635,343.468,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,Capital Accounts,539.403,514.022,533.363,569.014,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,CAPITAL STOCK,244.635,252.53,246.641,252.375,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,ASSIGNED CAPITAL,16.089,16.089,16.589,16.792,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,NET DUE TO H.O. BRANCHES/AGENCIES,60.522,58.211,60.334,62.725,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,"SURPLUS, SURPLUS RESERVES, UNDIVIDED PROFITS & APPRAISAL INCREMENT RESERVE",218.157,187.192,209.798,237.122,,,,,,,
,,,,,,,,,,,,,
Philippine Banking System  Consolidated Statement of Condition,,,,,,,,,,,,,
as of end of periods indicated: 2006,,,,,,,,,,,,,
         in billion pesos,,,,,,,,,,,,,
"1/ Adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,,,,,,,
2/ Inclusive of Interbank Loans Receivable,,,,,,,,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,
Updated as of 1April 2008,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
