Selected Accounts ,Selected Accounts ,Selected Accounts ,Selected Accounts ,,,,
 Asset Accounts 1/,,,,"6,161.708 ","6,298.869 ","6,417.538 ","6,918.334 "
 Asset Accounts 1/,Cash and Due from Banks,,,978.916 ,943.823 ,982.335 ,"1,326.926 "
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,,"1,668.058 ","1,680.194 ","1,739.906 ","1,731.710 "
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Held for Trading (HFT),,232.816 ,184.318 ,247.285 ,206.546 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Designated at Fair Value through Profit or Loss - Debt Sect,,10.244 ,10.893 ,7.305 ,8.167 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",,687.509 ,736.918 ,763.068 ,795.290 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS Debt Securities,670.014 ,719.707 ,741.048 ,767.918 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     Unamortized Discount/Premium,8.554 ,9.200 ,13.912 ,18.386 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS-Debt Securities Net of Amortization,678.568 ,728.907 ,754.960 ,786.304 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS-Equity Securities,8.940 ,8.011 ,8.108 ,8.986 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Held-to-Maturity (HTM) Financial Assets,,504.312 ,524.280 ,508.607 ,511.565 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,Unamortized Discount/Premium,8.542 ,7.837 ,10.442 ,9.770 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",HTM Financial Assets - Net of Amortization,,512.854 ,532.117 ,519.049 ,521.335 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans,,228.605 ,220.571 ,205.956 ,203.558 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,Unamortized Discount/Premium,(29.638),(29.613),(27.314),(27.695)
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans -Net of Amortization,,198.967 ,190.958 ,178.642 ,175.863 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Investment in Non-Markeatable Equity Securities (INMES),,25.668 ,24.989 ,24.558 ,24.508 
 Asset Accounts 1/,Accumulated Market Gain (Losses) -Financial Assets,,,15.883 ,17.597 ,36.377 ,30.150 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,,,27.950 ,28.029 ,27.501 ,28.112 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-AFS ,,9.462 ,8.328 ,8.215 ,7.642 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-HTM,,1.392 ,1.177 ,0.940 ,1.005 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Unquoted Debt Securities Classified as Loans,,12.361 ,14.787 ,14.618 ,15.738 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses- INMES,,4.736 ,3.738 ,3.727 ,3.726 
 Asset Accounts 1/,Financial Assets -Net of Allowance for Credit Losses,,,"1,655.991 ","1,669.762 ","1,748.783 ","1,733.748 "
 Asset Accounts 1/,"Equity Investments In Subsidiaries, Assoc. & Joint Vent.",,,134.025 ,134.030 ,135.342 ,134.581 
 Asset Accounts 1/,"Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent",,,1.494 ,1.471 ,1.471 ,1.424 
