selected_accounts_a,selected_accounts_b,selected_accounts_c,selected_accounts_d,selected_accounts_e,1999_March,1999_June,1999_Sept,1999_Dec,,,,,,
 ASSETS, ASSETS, ASSETS, ASSETS, ASSETS,"2,715.66","2,790.20","2,847.32","2,954.84",,,,,,
 ASSETS, ASSETS, ASSETS, ASSETS,Cash and Due from Banks,326.963,324.843,297.595,338.422,,,,,,
 ASSETS, ASSETS, ASSETS, ASSETS,Loan Portfolio (net) 2/,"1,574.45","1,594.91","1,648.85","1,651.75",,,,,,
 ASSETS, ASSETS, ASSETS, ASSETS,Investments (net),477.711,505.716,495.362,513.374,,,,,,
 ASSETS, ASSETS, ASSETS, ASSETS,Other Assets,336.538,364.73,405.518,451.294,,,,,,
 LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL,"2,715.66","2,790.20","2,847.32","2,954.84",,,,,,
 LIABILITIES AND CAPITAL,Liabilities,Liabilities,Liabilities,Liabilities,"2,320.72","2,385.53","2,422.15","2,525.43",,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,    Deposit Liabilities,    Deposit Liabilities,"1,753.00","1,792.30","1,841.60","1,919.52",,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Peso Liabilities,        Peso Liabilities,"1,147.06","1,203.24","1,226.57","1,290.10",,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Peso Liabilities,            Demand and NOW,153.224,169.803,177.088,177.9,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Peso Liabilities,            Savings,919.627,951.412,964.844,"1,028.97",,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Peso Liabilities,            Time,74.209,82.021,84.633,83.223,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Deposit Liabilities,        Foreign Currency,        Foreign Currency,605.937,589.06,615.03,629.426,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Bills Payable,    Bills Payable,    Bills Payable,313.117,335.367,316.48,348.153,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Bills Payable,            Deposit Substitutes,            Deposit Substitutes,6.687,6.171,4.298,7.458,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Bills Payable,            Others,            Others,306.43,329.196,312.182,340.695,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Special Financing,    Special Financing,    Special Financing,5.191,4.852,4.875,5.361,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Special Financing,            Time Certificates of Deposits - SF,            Time Certificates of Deposits - SF,4.89,4.563,4.602,3.822,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Special Financing,            Special Time Deposits,            Special Time Deposits,0.301,0.29,0.273,1.54,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,    Other Liabilities,    Other Liabilities,    Other Liabilities,249.416,253.02,259.202,252.393,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,Capital Accounts,Capital Accounts,Capital Accounts,394.942,404.663,425.167,429.412,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,    Capital Stock,    Capital Stock,    Capital Stock,178.413,183.699,196.481,203.64,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,    Assigned Capital,    Assigned Capital,    Assigned Capital,9.047,9.047,9.047,9.447,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,"    Net Due to H.O., Branches/Agencies","    Net Due to H.O., Branches/Agencies","    Net Due to H.O., Branches/Agencies",35.045,35.045,33.695,35.295,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,"    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits",172.436,176.872,185.944,181.031,,,,,,
,,,,,,,,,,,,,,
,,CONSOLIDATED STATEMENT OF CONDITION,,,,,,,,,,,,
,,    Philippine Banking System as of end of periods indicated: 1999,,,,,,,,,,,,
,,    in billion pesos,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"1/ Adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,,,,,,
,,2/ Inclusive of Interbank Loans Receivable,,,,,,,,,,,,
,,Note: Details may not add up to totals due to rounding-off,,,,,,,,,,,,
,,"Source: Supervisory Reports and Studies Office, Supervision and Examination Sector",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Updated as of 12 March 2004,,,,,,,,,,,,
