selected_accounts_a,selected_accounts_b,selected_accounts_c,2007_March,2007_June,2007_Sept,2007_Dec,,,,,,,
ASSETS,ASSETS,ASSETS,"4,978.31","4,971.50","4,933.84","5,134.12",,,,,,,
ASSETS,ASSETS,CASH AND DUE FROM BANKS,735.977,744.34,735.138,750.32,,,,,,,
ASSETS,ASSETS,"TOTAL LOAN PORTFOLIO, GROSS","2,448.48","2,389.38","2,400.94","2,601.70",,,,,,,
ASSETS,ASSETS,   Interbank Loans Receivable,452.167,426.913,406.588,388.416,,,,,,,
ASSETS,ASSETS,   Loans and Discounts,"1,159.37","1,182.19","1,228.11","1,339.65",,,,,,,
ASSETS,ASSETS,   Agra/Agri Credit Loans,192.278,208.248,191.756,199.855,,,,,,,
ASSETS,ASSETS,   Development Incentive Loans,79.684,82.439,82.293,89.058,,,,,,,
ASSETS,ASSETS,   Bills Purchased,58.534,56.944,62.094,72.454,,,,,,,
ASSETS,ASSETS,   Customers' Liabilities - LC/TR,97.521,97.463,98.707,102.416,,,,,,,
ASSETS,ASSETS,   Customers' Liabilities - Accept O/S,9.313,9.191,7.454,7.631,,,,,,,
ASSETS,ASSETS,   Trading Account Securities - Loans,230.932,152.141,151.6,226.016,,,,,,,
ASSETS,ASSETS,   Underwriting Accounts,2.3,2.85,4.15,4.15,,,,,,,
ASSETS,ASSETS,   Restructured Loans,82.416,80.029,75.83,71.353,,,,,,,
ASSETS,ASSETS,   Credit Card Receivables,78.673,83.157,86.419,95.024,,,,,,,
ASSETS,ASSETS,   Microfinance Loans,5.288,7.811,5.943,5.667,,,,,,,
ASSETS,ASSETS,ACCUM. MARKET GAIN/LOSS - LOANS,0,0,0,0,,,,,,,
ASSETS,ASSETS,ALLOW. FOR PROBABLE LOSSES - LOANS,123.44,124.326,123.735,115.966,,,,,,,
ASSETS,ASSETS,"TOTAL LOAN PORTFOLIO, NET","2,324.30","2,265.05","2,277.21","2,485.73",,,,,,,
ASSETS,ASSETS,"TOTAL INVESTMENTS, GROSS","1,278.15","1,349.69","1,310.52","1,250.50",,,,,,,
ASSETS,ASSETS,  Underwriting Accounts - Equity Securities,0.049,0.047,0.087,0.07,,,,,,,
ASSETS,ASSETS,  Trading Account Securities - Investments,218.376,209.742,204.024,170.977,,,,,,,
ASSETS,ASSETS,  Trading Account Securities - Equity,0.396,0.473,1.926,1.457,,,,,,,
ASSETS,ASSETS,  Avaiable for Sale Securities (ASS),661.15,740.213,716.029,680.783,,,,,,,
ASSETS,ASSETS,  Investment in Bonds and Other Debt Instruments,289.127,285.945,277.344,278.021,,,,,,,
ASSETS,ASSETS,  Equity Investments - Allied/Non-Allied Undertakings,109.052,113.274,111.112,119.195,,,,,,,
ASSETS,ASSETS,ACCUM. MARKET GAIN/LOSS - INVESTMENTS,24.597,18.063,17.953,24.038,,,,,,,
ASSETS,ASSETS,ALLOW. FOR PROBABLE LOSSES - INVESTMENTS,7.697,7.511,7.452,8.772,,,,,,,
ASSETS,ASSETS,"TOTAL INVESTMENTS, NET","1,295.05","1,360.25","1,321.02","1,265.77",,,,,,,
ASSETS,ASSETS,FIXED ASSETS,89.771,88.478,88.49,89.476,,,,,,,
ASSETS,ASSETS,"ROPOA, GROSS",209.778,208.369,204.869,198.947,,,,,,,
ASSETS,ASSETS,ALLOWANCE FOR PROBABLE LOSSES - ROPOA,17.553,17.501,18.208,17.866,,,,,,,
ASSETS,ASSETS,"ROPOA, NET",192.208,190.868,186.661,181.082,,,,,,,
ASSETS,ASSETS,OTHER ASSETS,341.007,322.516,325.327,361.738,,,,,,,
 LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL,"4,978.31","4,971.50","4,933.84","5,134.12",,,,,,,
 LIABILITIES AND CAPITAL,Liabilities,Liabilities,"4,404.95","4,404.12","4,360.63","4,532.32",,,,,,,
 LIABILITIES AND CAPITAL,,DEPOSIT LIABILITIES,"3,636.34","3,667.62","3,518.10","3,664.84",,,,,,,
 LIABILITIES AND CAPITAL,,   Domestic,"2,710.66","2,759.30","2,613.19","2,856.58",,,,,,,
 LIABILITIES AND CAPITAL,,      Demand and Now,536.561,565.212,524.151,561.294,,,,,,,
 LIABILITIES AND CAPITAL,,      Savings,"1,362.18","1,360.76","1,300.61","1,410.71",,,,,,,
 LIABILITIES AND CAPITAL,,      Time,811.915,833.332,788.43,884.574,,,,,,,
 LIABILITIES AND CAPITAL,,   Foreign Currency,925.678,908.314,904.912,808.263,,,,,,,
 LIABILITIES AND CAPITAL,,BILLS PAYABLE,363.665,342.725,436.958,415.433,,,,,,,
 LIABILITIES AND CAPITAL,,   Deposit Substitutes,10.67,5.18,15.14,8.865,,,,,,,
 LIABILITIES AND CAPITAL,,   Others,352.995,337.545,421.818,406.568,,,,,,,
 LIABILITIES AND CAPITAL,,SPECIAL FINANCING,0.186,0.167,0.16,0.149,,,,,,,
 LIABILITIES AND CAPITAL,,   Time Certificates of Deposits - SF,0.127,0.094,0.094,0.084,,,,,,,
 LIABILITIES AND CAPITAL,,   Special Time Deposits,0.06,0.073,0.066,0.065,,,,,,,
 LIABILITIES AND CAPITAL,,UNSECURED SUBORDINATED DEBT,74.951,72.841,71.258,81.981,,,,,,,
 LIABILITIES AND CAPITAL,,OTHER LIABILITIES,329.816,320.773,334.155,370.913,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,Capital Accounts,573.359,567.375,573.213,601.799,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,CAPITAL STOCK,255.676,263.071,269.619,272.965,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,ASSIGNED CAPITAL,16.792,17.973,18.961,18.961,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,NET DUE TO H.O. BRANCHES/AGENCIES,57.638,63.071,58.447,60.005,,,,,,,
 LIABILITIES AND CAPITAL,Capital Accounts,"SURPLUS, SURPLUS RESERVES, UNDIVIDED PROFITS & APPRAISAL INCREMENT RESERVE",243.253,223.26,226.186,249.868,,,,,,,
,,,,,,,,,,,,,
Philippine Banking System  Consolidated Statement of Condition,,,,,,,,,,,,,
