selected_accounts_c,selected_accounts_d,selected_accounts_e,2001_March,2001_June,2001_Sept,2001_Dec
 ASSETS, ASSETS, ASSETS,"3,208.11","3,259.28","3,242.48","3,259.27"
 ASSETS, ASSETS,Cash and Due from Banks,343.124,358.071,315.652,299.757
 ASSETS, ASSETS,Loan Portfolio (net) 2/,"1,614.03","1,627.85","1,621.73","1,672.94"
 ASSETS, ASSETS,Investments (net),726.034,731.429,767.676,759.663
 ASSETS, ASSETS,Other Assets,524.919,541.929,537.421,526.908
 LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL, LIABILITIES AND CAPITAL,"3,208.11","3,259.28","3,242.48","3,259.27"
Liabilities,Liabilities,Liabilities,"2,755.25","2,813.01","2,802.58","2,815.18"
    Deposit Liabilities,    Deposit Liabilities,    Deposit Liabilities,"2,097.86","2,180.17","2,151.56","2,199.53"
    Deposit Liabilities,        Peso Liabilities,        Peso Liabilities,"1,424.26","1,469.42","1,468.92","1,515.09"
    Deposit Liabilities,        Peso Liabilities,            Demand and NOW,201.889,212.738,210.448,216.883
    Deposit Liabilities,        Peso Liabilities,            Savings,"1,123.18","1,154.08","1,151.84","1,189.51"
    Deposit Liabilities,        Peso Liabilities,            Time,99.185,102.597,106.637,108.692
    Deposit Liabilities,        Foreign Currency,        Foreign Currency,673.602,710.758,682.64,684.436
    Bills Payable,    Bills Payable,    Bills Payable,381.27,361.302,372.116,343.467
    Bills Payable,            Deposit Substitutes,            Deposit Substitutes,3.811,3.732,4.301,4.145
    Bills Payable,            Others,            Others,377.459,357.57,367.815,339.322
    Special Financing,    Special Financing,    Special Financing,2.224,2.112,2.354,2.089
    Special Financing,            Time Certificates of Deposits - SF,            Time Certificates of Deposits - SF,0.72,0.641,0.835,0.581
    Special Financing,            Special Time Deposits,            Special Time Deposits,1.504,1.471,1.519,1.508
    Unsecured Subordinated Debt,    Unsecured Subordinated Debt,    Unsecured Subordinated Debt,0,0,0,0
    Other Liabilities,    Other Liabilities,    Other Liabilities,273.902,269.424,276.546,270.102
Capital Accounts,Capital Accounts,Capital Accounts,452.858,446.271,439.905,444.089
    Capital Stock,    Capital Stock,    Capital Stock,210.568,212.301,212.735,214.419
    Assigned Capital,    Assigned Capital,    Assigned Capital,12.177,12.176,12.37,12.37
"    Net Due to H.O., Branches/Agencies","    Net Due to H.O., Branches/Agencies","    Net Due to H.O., Branches/Agencies",44.983,46.117,45.57,45.55
"    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits","    Surplus, Surplus Reserves &  Undivided Profits",185.13,175.677,169.23,171.75
CONSOLIDATED STATEMENT OF CONDITION,,,,,,
    Philippine Banking System as of end of periods indicated: 2001,,,,,,
    in billion pesos,,,,,,
,,,,,,
"1/ Adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,
2/ Inclusive of Interbank Loans Receivable,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,
"Source: Supervisory Reports and Studies Office, Supervision and Examination Sector",,,,,,
,,,,,,
Updated as of 12 March 2004,,,,,,
