Selected Accounts_a,Selected Accounts_b,Selected Accounts_c,Selected Accounts_d,11-Mar,11-Jun,11-Sep,11-Dec
Asset Accounts 1/_Total,Asset Accounts 1/_Total,Asset Accounts 1/_Total,Asset Accounts 1/_Total,"6,799.46","7,020.98","7,050.10","7,335.62"
Cash and Due from Banks,Cash and Due from Banks,Cash and Due from Banks,Cash and Due from Banks,"1,308.20","1,227.19","1,300.96","1,361.32"
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","1,722.35","1,712.63","1,692.66","1,650.56"
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization",Financial Assets Held for Trading (HFT),Financial Assets Held for Trading (HFT),179.62,196.583,193.92,154.403
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization",Financial Assets Designated at Fair Value through Profit or Loss (DFVPL) - Debt Securities,Financial Assets Designated at Fair Value through Profit or Loss (DFVPL) - Debt Securities,7.61,6.618,8.699,9.553
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","Available for Sale (AFS) Financial Assets, net of amortization ","Available for Sale (AFS) Financial Assets, net of amortization ",768.98,798.084,789.484,868.095
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","Available for Sale (AFS) Financial Assets, net of amortization ",AFS Debt Securities,740.895,766.348,754.925,824.081
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","Available for Sale (AFS) Financial Assets, net of amortization ",Unamortized Discount/Premium,19.8,23.297,26.623,32.859
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","Available for Sale (AFS) Financial Assets, net of amortization ","AFS Debt Securities, net of amortization",760.695,789.645,781.548,856.94
Cash and Due from Banks,"Financial Assets, excluding Equity Investment in Subsidiaries/Associates/ Joint Ventures, net of amortization","Available for Sale (AFS) Financial Assets, net of amortization ",AFS Equity Securities,8.284,8.439,7.936,11.155
