Selected Accounts ,Selected Accounts ,Selected Accounts ,Selected Accounts ,2009_March,2009_June,2009_September,2009_December
 Asset Accounts 1/,,,,"5,636.468 ","5,777.444 ","5,872.126 ","6,192.285 "
 Asset Accounts 1/,Cash and Due from Banks,,,768.866 ,780.536 ,799.597 ,877.939 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,,"1,435.627 ","1,506.042 ","1,592.592 ","1,592.109 "
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Held for Trading (HFT),,188.477 ,185.443 ,240.759 ,190.895 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Financial Assets Designated at Fair Value through Profit or Loss - Debt Sect,,10.043 ,10.854 ,11.756 ,10.255 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)","AFS Financial Assets, Net of Amortization ",,514.824 ,560.554 ,593.274 ,651.300 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS Debt Securities,496.216 ,541.101 ,574.518 ,632.427 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     Unamortized Discount/Premium,12.475 ,12.408 ,11.190 ,11.453 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS-Debt Securities Net of Amortization,508.691 ,553.510 ,585.708 ,643.880 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,     AFS-Equity Securities,6.133 ,7.045 ,7.565 ,7.420 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Held-to-Maturity (HTM) Financial Assets,,497.607 ,514.865 ,514.170 ,509.368 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,Unamortized Discount/Premium,8.829 ,9.694 ,9.476 ,8.337 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",HTM Financial Assets - Net of Amortization,,506.436 ,524.559 ,523.646 ,517.705 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans,,223.031 ,232.816 ,232.150 ,227.034 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",,Unamortized Discount/Premium,(21.236),(30.083),(31.582),(30.240)
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans -Net of Amortization,,201.795 ,202.733 ,200.569 ,196.793 
 Asset Accounts 1/,"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Investment in Non-Markeatable Equity Securities (INMES),,14.053 ,21.898 ,22.589 ,25.160 
 Asset Accounts 1/,Accumulated Market Gain (Losses) -Financial Assets,,,(3.732),4.153 ,16.527 ,15.868 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,,,21.783 ,22.792 ,22.984 ,25.112 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-AFS ,,7.464 ,8.193 ,7.873 ,8.155 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-HTM,,1.287 ,1.493 ,1.661 ,1.711 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Unquoted Debt Securities Classified as Loans,,8.388 ,8.850 ,8.629 ,10.154 
 Asset Accounts 1/,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses- INMES,,4.644 ,4.255 ,4.821 ,5.091 
 Asset Accounts 1/,Financial Assets -Net of Allowance for Credit Losses,,,"1,410.112 ","1,487.403 ","1,586.136 ","1,582.865 "
 Asset Accounts 1/,"Equity Investments In Subsidiaries, Assoc. & Joint Vent.",,,107.056 ,116.648 ,122.121 ,124.068 
 Asset Accounts 1/,"Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent",,,1.288 ,1.665 ,1.455 ,1.496 
 Asset Accounts 1/,"Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)",,,105.768 ,114.983 ,120.666 ,122.573 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",,,"2,914.504 ","2,962.294 ","2,937.011 ","3,179.933 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables, gross (net of amortization)",,"2,636.948 ","2,679.884 ","2,707.823 ","2,904.319 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans to Bangko Sentral ng Pilipinas,,0.000 ,0.000 ,0.000 ,1.400 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Interbank Loans Receivable ,,267.808 ,292.931 ,331.901 ,350.047 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables -Others,,"2,386.203 ","2,404.533 ","2,393.731 ","2,572.252 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",,Unamortized Discount and Other Deferred Credits,17.063 ,17.580 ,17.809 ,19.380 
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables - Others - Net of Amortization,,"2,369.140 ","2,386.953 ","2,375.922 ","2,552.872 "
 Asset Accounts 1/,"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse, and Securities Lending and Borrowing Transactions",,277.556 ,282.410 ,229.188 ,275.613 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,,,125.685 ,128.900 ,133.899 ,131.626 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-Interbank Loans Receivable,,2.640 ,2.696 ,2.739 ,2.604 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans and Receivables -Other,,93.087 ,95.278 ,98.190 ,97.748 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,Allowance for Credit Losses-LRARA,,0.000 ,0.000 ,0.000 ,0.000 
 Asset Accounts 1/,Allowance for Credit Losses-Loans,General Loan Loss Provision (GLLP),,29.958 ,30.926 ,32.969 ,31.274 
 Asset Accounts 1/,"Total Loan Portfolio, Net of Allowance for Credit Losses",,,"2,788.819 ","2,833.394 ","2,803.112 ","3,048.307 "
 Asset Accounts 1/,Total ROPA,,,191.291 ,189.108 ,186.805 ,184.056 
 Asset Accounts 1/,Total ROPA,Sales Contract Receivable,,22.669 ,22.993 ,23.592 ,22.894 
 Asset Accounts 1/,Total ROPA,Non-Current Assets Held for Sale,,15.400 ,15.198 ,15.644 ,14.249 
 Asset Accounts 1/,Total ROPA,Real and Other Properties Acquired,,153.222 ,150.917 ,147.569 ,146.913 
 Asset Accounts 1/,Accumulated Depreciation,,,14.290 ,14.461 ,14.693 ,14.866 
 Asset Accounts 1/,Unamortized Discount and Other Deferred Credits,,,0.125 ,0.134 ,0.148 ,0.175 
 Asset Accounts 1/,Allowance for Losses - ROPA,,,15.384 ,15.618 ,14.756 ,15.633 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Credit Losses- Sales Contract Receivable,,0.170 ,0.170 ,0.183 ,0.223 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Losses -Real and Other Properties Acquired,,12.712 ,12.946 ,12.072 ,12.869 
 Asset Accounts 1/,Allowance for Losses - ROPA,Allowance for Credit Losses -Non Current Assets held for Sale,,2.502 ,2.502 ,2.502 ,2.541 
 Asset Accounts 1/,"ROPA, Net of Allowance for Losses",,,161.492 ,158.895 ,157.208 ,153.382 
 Asset Accounts 1/,"Total Other Assets, Net",,,401.411 ,402.233 ,405.404 ,407.219 
 Asset Accounts 1/,"Total Other Assets, Net",Derivatives with Positive Fair Value Held for Hedging,,0.027 ,0.008 ,0.007 ,0.001 
 Asset Accounts 1/,"Total Other Assets, Net",Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,,0.276 ,0.245 ,0.141 ,0.099 
 Asset Accounts 1/,"Total Other Assets, Net",Goodwill,,16.396 ,16.633 ,17.939 ,17.925 
 Asset Accounts 1/,"Total Other Assets, Net",, Allowance for Losses,0.481 ,0.515 ,0.550 ,0.618 
 Asset Accounts 1/,"Total Other Assets, Net",Goodwill - Net,,15.915 ,16.118 ,17.390 ,17.307 
 Asset Accounts 1/,"Total Other Assets, Net",Accrued Interest Income from Financial Assets,,48.193 ,58.660 ,49.079 ,60.249 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Credit Losses,6.662 ,6.675 ,6.692 ,7.184 
 Asset Accounts 1/,"Total Other Assets, Net","Accrued Interest Income from Financial Assets, net",,41.532 ,51.985 ,42.387 ,53.065 
 Asset Accounts 1/,"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment",,169.614 ,171.009 ,173.324 ,174.593 
 Asset Accounts 1/,"Total Other Assets, Net",,Accumulated Depreciation,71.540 ,72.863 ,74.543 ,75.203 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,1.942 ,1.918 ,1.729 ,1.712 
 Asset Accounts 1/,"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment - Net",,96.132 ,96.228 ,97.052 ,97.677 
 Asset Accounts 1/,"Total Other Assets, Net",Other Intangible Assets,,6.145 ,6.991 ,7.353 ,7.718 
 Asset Accounts 1/,"Total Other Assets, Net",,Accumulated Amortization,2.389 ,2.673 ,2.875 ,3.066 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,0.000 ,0.005 ,0.005 ,0.005 
 Asset Accounts 1/,"Total Other Assets, Net","Other Intangible Assets, net",,3.757 ,4.313 ,4.473 ,4.646 
 Asset Accounts 1/,"Total Other Assets, Net",Deferred Tax Asset,,46.516 ,46.554 ,46.985 ,45.930 
 Asset Accounts 1/,"Total Other Assets, Net",Due from FCDU/RBU,,0.000 ,0.000 ,0.000 ,0.000 
 Asset Accounts 1/,"Total Other Assets, Net",Other Assets,,220.966 ,210.690 ,221.473 ,212.914 
 Asset Accounts 1/,"Total Other Assets, Net",,Allowance for Losses,23.711 ,23.911 ,24.503 ,24.418 
 Asset Accounts 1/,"Total Other Assets, Net",Other Assets - Net,,197.255 ,186.779 ,196.970 ,188.496 
LIABILITIES AND CAPITAL,,,,"5,636.468 ","5,777.444 ","5,872.126 ","6,192.285 "
LIABILITIES AND CAPITAL,Liability Accounts,,,"5,020.078 ","5,125.254 ","5,203.889 ","5,504.316 "
LIABILITIES AND CAPITAL,Liability Accounts,Financial Liabilities Held for Trading,,31.854 ,28.606 ,33.370 ,35.986 
LIABILITIES AND CAPITAL,Liability Accounts,Financial Liabilities Designated at Fair Value through Profit or Loss,,6.310 ,6.330 ,6.361 ,6.321 
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,,"4,220.237 ","4,318.725 ","4,393.156 ","4,671.848 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Peso,"3,189.578 ","3,263.292 ","3,328.793 ","3,615.004 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Demand & NOW,696.840 ,729.928 ,770.823 ,805.508 
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Savings Deposits,"1,471.955 ","1,533.419 ","1,616.797 ","1,745.817 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Time Certificate of Deposits ,991.824 ,971.403 ,912.595 ,"1,031.562 "
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,LTNCD,28.958 ,28.542 ,28.579 ,32.117 
LIABILITIES AND CAPITAL,Liability Accounts,Deposit Liabilities,Foreign Currency,"1,030.660 ","1,055.433 ","1,064.363 ","1,056.844 "
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,,334.660 ,334.521 ,351.014 ,329.479 
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,Deposit Substitutes ,36.192 ,37.371 ,40.906 ,41.477 
LIABILITIES AND CAPITAL,Liability Accounts,Bills Payable,Others,298.468 ,297.151 ,310.107 ,288.002 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,,0.097 ,0.119 ,0.119 ,0.116 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,Time Certificate of Deposits  - SF,0.055 ,0.053 ,0.047 ,0.043 
LIABILITIES AND CAPITAL,Liability Accounts,Special Financing ,Special Time Deposits,0.042 ,0.066 ,0.072 ,0.074 
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt,,86.112 ,101.549 ,101.467 ,105.074 
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt Unamortized Debt Discount/Premium,,(0.250),(0.304),(0.289),(0.270)
LIABILITIES AND CAPITAL,Liability Accounts,Unsecured Subordinated Debt - Net,,85.862 ,101.244 ,101.178 ,104.804 
LIABILITIES AND CAPITAL,Liability Accounts,Redeemable Preferred Shares,,2.441 ,2.485 ,2.451 ,0.081 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,,338.616 ,333.223 ,316.239 ,355.682 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Other Banks,25.757 ,26.979 ,24.371 ,27.135 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Bonds Payable,6.105 ,6.080 ,5.986 ,5.836 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities - Unamortized Bond Discount/Premium,,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Bonds Payable - Net,6.105 ,6.080 ,5.986 ,5.836 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Financial Liabilities Associated with Transferred Assets,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Derivatives with Negative Fair Value Held for Hedging,0.861 ,0.785 ,0.594 ,0.420 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Accrued Interest Expense on Financial Liabilities,22.325 ,22.139 ,21.681 ,23.730 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Finance Lease Payment Payable,0.001 ,0.226 ,0.220 ,0.210 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Treasurer of the Philippines,0.981 ,0.932 ,2.488 ,3.021 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Treasurer/Cashier/Manager's Checks,29.608 ,28.899 ,29.459 ,28.858 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Payment Orders Payable,4.415 ,4.411 ,2.621 ,2.778 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Margin Deposits on LCs and Customers' Liability on Bills/Drafts under LCs and/or TRs,2.315 ,3.172 ,5.831 ,4.058 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Cash Letters of Credit,3.038 ,2.357 ,4.323 ,4.335 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Outstanding Acceptances Executed by or for Account of this Bank,4.669 ,5.539 ,6.058 ,5.534 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Bangko Sentral ng Pilipinas,0.929 ,1.342 ,1.766 ,0.482 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Philippine Deposit Insurance Corporation,1.289 ,1.823 ,1.468 ,1.887 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Philippine Crop Insurance Corporation,0.002 ,0.002 ,0.002 ,0.002 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Income Tax Payable,1.626 ,1.624 ,1.483 ,1.985 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Other Taxes and Licenses Payable,2.759 ,2.691 ,2.563 ,3.720 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Accrued Expenses,22.257 ,23.544 ,26.910 ,26.671 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Unearned Income ,15.084 ,13.948 ,14.200 ,14.438 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Deferred Tax Liabilities,4.526 ,4.622 ,4.976 ,5.214 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Provisions,1.440 ,1.581 ,1.774 ,1.814 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Other Liabilities,159.250 ,155.084 ,132.697 ,166.354 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to Head Office/Branches/Agencies (Philippine branch of a foreign bank),29.380 ,25.442 ,24.765 ,27.199 
LIABILITIES AND CAPITAL,Liability Accounts,Total Other Liabilities,Due to FCDU/RBU,0.000 ,0.000 ,0.000 ,0.000 
LIABILITIES AND CAPITAL,Capital Accounts,Total Other Liabilities,,616.391 ,652.192 ,668.238 ,687.968 
LIABILITIES AND CAPITAL,Capital Accounts,Paid in Capital Stock,,284.654 ,288.026 ,286.647 ,290.877 
LIABILITIES AND CAPITAL,Capital Accounts,Additional Paid-in Capital,,46.677 ,47.655 ,49.918 ,53.134 
LIABILITIES AND CAPITAL,Capital Accounts,Other Equity Instruments,,28.971 ,28.901 ,28.641 ,28.223 
LIABILITIES AND CAPITAL,Capital Accounts,Retained Earnings,,165.908 ,169.838 ,161.131 ,172.153 
LIABILITIES AND CAPITAL,Capital Accounts,Stock Dividend Distributable,,0.194 ,0.282 ,1.136 ,1.169 
LIABILITIES AND CAPITAL,Capital Accounts,Undivided Profits,,12.854 ,28.664 ,44.844 ,44.571 
LIABILITIES AND CAPITAL,Capital Accounts,Other Comprehensive Income,,(11.511),(0.942),11.620 ,12.322 
LIABILITIES AND CAPITAL,Capital Accounts,Appraisal Increment Reserve,,3.033 ,3.032 ,2.831 ,2.822 
LIABILITIES AND CAPITAL,Capital Accounts,Treasury Stock,,(3.374),(3.375),(0.983),(0.983)
LIABILITIES AND CAPITAL,Capital Accounts,Assigned Capital,,22.008 ,22.008 ,22.008 ,22.282 
LIABILITIES AND CAPITAL,Capital Accounts,Net Due to HO/Br/Ag,,66.976 ,68.104 ,60.446 ,61.397 
LIABILITIES AND CAPITAL,Key  Ratios,Cash and Due from Banks to Deposits,,,,,
LIABILITIES AND CAPITAL,Key  Ratios,Liquid Assets to Deposits 2/,,18.22,18.07,18.2,18.79
LIABILITIES AND CAPITAL,Key  Ratios,"Loans, gross to Deposits",,51.63,52.51,54.31,52.67
LIABILITIES AND CAPITAL,Key  Ratios,Capital Adequacy Ratio (CAR) 3/,,69.06,68.59,66.85,68.07
LIABILITIES AND CAPITAL,Key  Ratios,Solo Basis,,,,,
LIABILITIES AND CAPITAL,Key  Ratios,Consolidated Basis,,14.56,14.81,14.82,14.85
LIABILITIES AND CAPITAL,Key  Ratios,Total Capital Accounts to Total Assets 4/,,15.31,15.62,15.76,15.78
,,,,10.98,11.33,11.42,11.11
,,,,,,,
Philippine Banking System: Consolidated Statement of Condition and Key Ratios,,,,,,,
       as of end of periods indicated 2010,,,,,,,
,,,,,,,
       in billion pesos,,,,,,,
,,,,,,,
"1/ Figures adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,
"2/ Ratio of Liquid Assets (Cash and Due from Banks + Financial Assets, Net of Allowance for Credit Losses) to Total Deposits",,,,,,,
"3/ Based on the framework under Circular No. 280 dated 29 March 2001 which was formally adopted on 1 July 2001.  Effective 1 July 2003, the CARs of Universal and Commercial Banks (U/KBs), are based on combined credit and market risks under Circular No. dated 3 December 2002. The capital adequacy framework, covering U/KBs and their subsidiary banks and quasi-banks, was revised under Circular  No. 538 dated 2 June 2006 and was formally adopted on 1 July 2007.  The CAR computation for Thrift Banks, Rural and Cooperative Banks and Quasi-Banks that are not subsidiaries of U/KBs continue to be governed by Circular No. 280 and Circular No. 400 dated 1 September 2003.",,,,,,,
4/ Ratio of  Total Capital Accounts ( for ratio analysis  consists of Total Capital Accounts + Redeemable Preferred Shares) to Total Assets,,,,,,,
r/ Revised,,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,
,,,,,,,
Updated as of 28 May 2010,,,,,,,
,,,,,,,
,,,,,,,
