particulars_1,particulars_2,particulars_3,amount
Receipt from 20% Development Fund,Receipt from 20% Development Fund,Receipt from 20% Development Fund,72340248.37
Less-Disbursements,Maintenance and Other Operating Expenses,Supplies and Material Expenses,256200
Less-Disbursements,Maintenance and Other Operating Expenses,"Taxes, Insurance Premiums and Other Fees",46336.78
Less-Disbursements,Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,38500
Less-Disbursements,Capital Outlay,Furniture and Fixtures,350000
Less-Disbursements,Capital Outlay,IT Equipment and Software,837500
Less-Disbursements,Capital Outlay,"Agricultural, Fishery and Forestry Equipment",2903500
Less-Disbursements,Capital Outlay,Hospital Equipment,44200
Less-Disbursements,Capital Outlay,"Medical, Dental and Laboratory Equipment",2637880
Less-Disbursements,Capital Outlay,"Other Property, Plant and Equipment",60745
Balance,Balance,Balance,65165386.59
