particulars_1,particulars_2,particulars_3,amount
Receipt from 20% Development Fund,Receipt from 20% Development Fund,Receipt from 20% Development Fund,315701964
Less-Disbursements,Maintenance and other Operating Expenses,Training and Scholarship Expenses,1747325.8
Less-Disbursements,Maintenance and other Operating Expenses,Supplies and Material Expenses,3500
Less-Disbursements,Maintenance and other Operating Expenses,Professional Services,3957861.6
Less-Disbursements,Maintenance and other Operating Expenses,Subsidies and Donations,217374168.3
Less-Disbursements,Maintenance and other Operating Expenses,"Taxes, Insurance Premiums and Other Fees",392938.56
Less-Disbursements,Capital Outlay,Land,8000000
Less-Disbursements,Capital Outlay,Other Structures,1038700
Less-Disbursements,Capital Outlay,Furniture and Fixtures,5467200
Less-Disbursements,Capital Outlay,IT Equipment and Software,10370400
Less-Disbursements,Capital Outlay,"Agricultural, Fishery, and Forestry Equipment",6039435
Less-Disbursements,Capital Outlay,Communication Equipment,1039500
Less-Disbursements,Capital Outlay,Hospital Equipment,6076050
Less-Disbursements,Capital Outlay,"Medical, Dental and Laboratory Equipment",19661024
Less-Disbursements,Capital Outlay,Other Machineries and Equipment,355900
Less-Disbursements,Capital Outlay,"Other Property, Plant and Equipment",447960
Balance,Balance,Balance,33730000.76
