particulars_1,particulars_2,particulars_3,amount
Receipt from 20% Development Fund,Receipt from 20% Development Fund,Receipt from 20% Development Fund,239826462.9
Less-Disbursements,Maintenance and Other Operating Expenses,Training Expenses,639200
Less-Disbursements,Maintenance and Other Operating Expenses,Supplies and Material Expenses (Cost of checkbooklets used),3500
Less-Disbursements,Maintenance and Other Operating Expenses,General Services (Corn Farmers Productivity Enhancement Program),2990757
Less-Disbursements,Maintenance and Other Operating Expenses,"Subsidies and Donations-Construction Materials for various Barangay Halls, and Pathways, Purchase of Equuipments, Continue of Other Structures of various Provincial Hospitals and Loan Amortization",161040567.9
Less-Disbursements,Maintenance and Other Operating Expenses,"Taxes, Insurance Premiums and Other Fees",392938.56
Less-Disbursements,Capial Outlay,Land,8000000
Less-Disbursements,Capial Outlay,Other Structures,203789
Less-Disbursements,Capial Outlay,Furnitures and Fixtures,5467200
Less-Disbursements,Capial Outlay,IT Equipment and Software,10370400
Less-Disbursements,Capial Outlay,"Agricultural, Fishery and Forestry Equipment",5128910
Less-Disbursements,Capial Outlay,Communication Equipment,1039500
Less-Disbursements,Capial Outlay,"Medical, Dental and Laboratory Equipment",7297185
Less-Disbursements,Capial Outlay,Other Machineries and Equipment,56000
Less-Disbursements,Capial Outlay,"Other Property, Plant and Equipment",447960
Balance,Balance,Balance,37387755.52
