particulars_1,particulars_2,particulars_3,amount
Receipt from 20% Development Fund,Receipt from 20% Development Fund,Receipt from 20% Development Fund,145175632.1
Less-Disbursements,Maintenance and Other Operating Expenses,Supplies and Material Expenses,2005249.15
Less-Disbursements,Maintenance and Other Operating Expenses,"Taxes, Insurance Premiums and Other Fees",46336.78
Less-Disbursements,Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,54756.25
Less-Disbursements,Capital Outlay,Furniture and Fixtures,962319
Less-Disbursements,Capital Outlay,IT Equipment and Software,2127498
Less-Disbursements,Capital Outlay,"Agricultural, Fishery and Forestry Equipment",3037390
Less-Disbursements,Capital Outlay,Hospital Equipment,329150
Less-Disbursements,Capital Outlay,"Medical, Dental and Laboratory Equipment",3384080
Less-Disbursements,Capital Outlay,Other Machineries and Equipment,958238
Less-Disbursements,Capital Outlay,"Other Property, Plant and Equipment",62545
Balance,Balance,Balance,132208069.9
