particulars_1,particulars_2,particulars_3,amount
Receipt from 20% Development Fund ,Receipt from 20% Development Fund ,Receipt from 20% Development Fund ,217637610.5
Less-Disbursements,Maintenance and Other Operating Expenses,Supplies and Material Expenses,2174226.15
Less-Disbursements,Maintenance and Other Operating Expenses,Subsidies and Donations,35179396.29
Less-Disbursements,Maintenance and Other Operating Expenses,"Taxes, Insurance Premiums and Other Fees",46336.78
Less-Disbursements,Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,54756.25
Less-Disbursements,Capital Outlay,Furniture and Fixtures ,9932319
Less-Disbursements,Capital Outlay,IT Equipment and Software ,23545668.3
Less-Disbursements,Capital Outlay,"Agricuttural, Fishery and Forestry Equipment ",3077350
Less-Disbursements,Capital Outlay,Communication Equipment ,1470000
Less-Disbursements,Capital Outlay,Hospital Equipment ,523350
Less-Disbursements,Capital Outlay,"Medical, Dental and Laboratory Equipment",5964800
Less-Disbursements,Capital Outlay,Other Machineries and Equipment ,958238
Less-Disbursements,Capital Outlay,Other Property. Plant and Equipment ,461271
Balance ,Balance ,Balance ,134249898.7
