function_or_program_or_project_or_activity,appropriations,allotment,obligation,unobligated_balance
Purchase and Development of Land for Informal Settlers,5000000,4500000,1944200,2555800
Rehabilitation of Health Centers and Purchase of Medical Equipment,2000000,1800000,-,1800000
Installation and Maintenance  Street Lighting Sytem,8082800,7982800,3112682.46,4870117.54
Public Infrastructure,10267568,6320000,6020000,300000
"Construction, Rehabilitation or Improvement of Barangay Multi-Purpose Bldgs. and Other Barangay Facilities (Brgy. Augmentation Fund)",5600000,5040000,2239987.24,2800012.76
Purchase of Agricultural  Equipment and Farm Implements,1000000,900000,250000,650000
Solid Waste Management,6000000,5400000,4678979.5,721020.5
"Construction, Rehabilitation or Improvement of Government Facilities",29002270,29002270,9791970,19210300
"Construction, Rehabilitation or Improvement of Flood and Erosion Control Projects",539090,539090,539090,-
Total 20% Development Fund,67491728,61484160,28576909.2,32907250.8
Grand Total,67491728,61484160,28576909.2,32907250.8
