particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,11112278.35,25928649.49,-,-,-,37040927.84
Sources of Funds,Continuing Approprations,14913181.73,15001046.35,-,-,-,29914228.07
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or  Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,26025460.08,40929695.83,-,-,-,66955155.91
Utilization ,Medicines,-,6701850,-,-,-,6701850
Utilization ,Food Supplies,-,3858329.1,-,-,-,3858329.1
Utilization ,Repair of Evacuation Center,-,-,-,-,-,-
Utilization ,Trainings,-,10639356,-,-,-,10639356
Utilization ,Construction of Evacuation Center,-,-,-,-,-,-
Utilization ,Equipment,6440553.202,1930919.638,-,-,-,8371472.84
Utilization ,Transfer to other LGUs,-,2798194.75,-,-,-,2798194.75
Utilization ,Total Utilization,6440553.202,25928649.49,-,-,-,32369202.69
Utilization ,Unutilized Balance,19584906.88,15001046.35,-,-,-,34585953.22
