distance_kms,regukar,student_or_elderly_or_disabled,Distance_kms,regular,student_or_elderly_or_disabled
1,8.00,6.50,26,38.75,31.00
2,8.00,6.50,27,40.25,32.25
3,8.00,6.50,28,41.50,33.25
4,8.00,6.50,29,43.00,34.50
5,9.50,7.50,30,44.50,35.50
6,10.75,8.75,31,45.75,36.75
7,12.25,9.75,32,47.25,37.75
8,13.50,11.00,33,48.50,38.75
9,15.00,12.00,34,50.00,40.00
10,16.50,13.25,35,51.50,41.25
11,17.75,14.25,36,52.75,42.25
12,19.25,15.50,37,54.25,43.50
13,20.50,16.50,38,55.50,44.50
14,22.00,17.75,39,57.00,45.75
15,23.50,18.75,40,58.50,46.75
16,24.75,19.75,41,59.75,47.75
17,26.25,21.00,42,61.25,49.00
18,27.50,22.25,43,62.50,50.00
19,29.00,23.25,44,64.00,51.25
20,30.50,24.50,45,65.50,52.50
21,31.75,25.50,46,66.75,53.50
22,33.25,26.75,47,68.25,54.75
23,34.50,27.75,48,69.50,55.75
24,36.00,28.75,49,71.00,56.75
25,37.50,30.00,50,72.50,58.00
26,48.75,39.00,56,104.25,83.50
27,50.75,40.50,57,106.25,85.00
28,52.50,42.00,58,108.00,86.50
29,54.50,43.50,59,110.00,88.00
30,56.25,45.00,60,111.75,89.50
