particulars_1,particulars_2,particulars_3,particulars_4,amount,total
Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,-,574716000
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,-,28735800
Less-Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,Flood Controls (256),10000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Waterways, Aqueducts, Seawalls, River Walls and Others (257)",2000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Capital Outlay,"Irrigations, Canals, Drainage and Other Structures (255)",5000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Subsidy to NGO's or PO's,3000000,-
Less-Disbursements,Post-Disaster Programs,Maintenance and Other Operating Expenses,Rent Expense - Equipments (782),350000,-
Less-Disbursements,Post-Disaster Programs,Maintenance and Other Operating Expenses,Subsidy to LGU's - Davao Oriental and Compostela Valley (874),1000000,-
Less-Disbursements,Post-Disaster Programs,Payment on Calamity Insurance,Payment on Calamity Insurance,-,-
Less-Disbursements,Total Disbursements,Total Disbursements,Total Disbursements,-,21350000
Less-Disbursements,Balance,Balance,Balance,-,7385800
