particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,10944000,25536000,-,-,-,36480000
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,10944000,25536000,-,-,-,36480000
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Construction Rehabilitaiton ,-,1735706.35,-,-,-,1735706.35
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to Other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,-,1735706.35,-,-,-,1735706.35
Utilization,Unutilized Balance,10944000,23800293.65,-,-,-,34744293.65
