accpunt_code,paticular_1,paticular_2,total
-,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,613500000
-,Calamity Fund CY 2012,Calamity Fund CY 2012,30675000
-,"Balance as of Sept 30, 2012","Balance as of September 30, 2012",17251556
-,Add-Fourth Quarter Allotment,Add-Fourth Quarter Allotment,7668750
-,Supplemental Budget # 3,Supplemental Budget # 3,135000
211,Less-Disbursement,Pre-Disaster Preparedness Programs - Office Building,124437.2
240,Less-Disbursement,Pre-Disaster Preparedness Programs - Other Machineries and Equipment,110755
758,Less-Disbursement,Pre-Disaster Preparedness Programs - Food Supplies Expenses,2467102.5
761,Less-Disbursement,Pre-Disaster Preparedness Programs - Gasoline Expenses,6300
969,Less-Disbursement,Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses,1628285
-,Less-Disbursement,Post-Disaster Preparedness Programs,-
-,Less-Disbursement,Payment of Premiums on Calamity Insurance,-
-,Subtotal,Subtotal,4336879.7
-,Balance,Balance,20718427
