account_code,particulars_1,particulars_2,total
,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,613500000
,Calamity Fund CY 2012,Calamity Fund CY 2012,30675000
-,"Balance as of March 31, 2012","Balance as of March 31, 2012",6574638
-,Add-2nd Quarter Allotment,Add-2nd Quarter Allotment,7668750
241,Less-Disbursement,Pre-Disaster Preparedness Programs - Motor Vehicles,1308002
753,Less-Disbursement,Pre-Disaster Preparedness Programs - Training Expenses,1000
761,Less-Disbursement,Pre-Disaster Preparedness Programs - Gasoline Expenses,8388
765,Less-Disbursement,Pre-Disaster Preparedness Programs - Other Supplies Expenses,7631
840,Less-Disbursement,Pre-Disaster Preparedness Programs - Repair and Maintenance - Office Equipment,3000
969,Less-Disbursement,Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses,169020
-,Less-Disbursement,Post-Disaster Preparedness Programs,-
-,Less-Disbursement,Payment of Premiums on Calamity Insurance,-
-,Subtotal,Subtotal,1497041
-,Balance,Balance,12746347
