account_code,particulars_1,particulars_2,total
-,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,613500000
-,Calamity Fund CY 2012,Calamity Fund CY 2012,30675000
-,Balance as of January 2012,Balance as of January 2012,7668750
753,Less: Disbursement,Pre-Disaster Preparedness Programs - Training Expenses,2000
758,Less-Disbursement,Pre-Disaster Preparedness Programs - Food Supplies Expenses,1535.65
765,Less-Disbursement,Pre-Disaster Preparedness Programs - Other Supplies Expenes,576
969,Less-Disbursement,Pre-Disaster Preparedness Programs - Other Maintenance and Operating Expenses,1090000
-,Less-Disbursement,Post-Disaster Preparedness Programs,-
-,Less-Disbursement,Payment of Premiums on Calamity Insurance,-
-,Subtotal,Subtotal,1094111.65
-,Balance,Balance,6574638.35
