NEDA updates on the Economy,,,,,,,,,,
As of 25 September 2013,,,,,,,,,,
,,,,,,,,,,
,,,Latest_Quarter,,Preceding_Quarter,,Year_to_date,,Same_Quarter_year_ago,
I. Real Sector (percent growth),A. National Income (% g.r.)(NSCB),GNI,6.8,(Q2 '13),7.8,(Q1'13),7.3,Jan-Jun '13,6.5,(Q2 '12)
,,GDP,7.5,,7.7,,7.6,,6.3,
,,Agriculture,-0.3,,3.1,,1.4,,0.6,
,,Industry,10.3,,10.9,,10.6,,5.8,
,,Service,7.4,,6.8,,7.1,,7.7,
,B. Manufacturing (MISSI-NSO) (2000 - based),,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
,,Volume of Production (% g.r.),5.2,(Jul'13),0.3,(Jun '13),-0.7,(Jan-Jul '13),2.5,(Jul '12)
,,Value of Production (%g.r.),12.1,,8.2,,8.9,,3.8,
,,Volume of Sales (%g.r.),15.5,,11.0,,6.4,,-0.9,
,,Value of Sales (% g.r.),23.1,,19.6,,16.6,,0.3,
,,Weighted Average (Capacity Utilization(%)),83.3,,83.2,,83.0,,82.8,
,C. Electric Consumption (%g.r.) (Meralco kWh Sales),Residential,6.3,(Jun'13),6.5,(May '13),4.4,(Jan-Jun '13),4.2,(Jun '12)
,,Commercial,5.8,,7.5,,4.8,,6.3,
,,Industrial,1.6,,1.4,,2.3,,16.2,
,,Others,-0.9,,-1.8,,-0.6,,-9.2,
,,Total,4.7,,5.3,,3.9,,8.3,
,D. Building Permits (% g.r.) (NSO),,Latest_Quarter,,Preceding_Quarter,,Year_to_date,,Same_Quarter_year_ago,
,,Number of Permits,-3.9,(Q2 '13),-17.5,(Q1 '13),-10.6,(Jan-Jun '13),11.2,(Q2 '12)
,,Value of Construction,9.0,,19.3,,13.6,,9.4,
,E. Investment Indicators (% g.r.),,Latest_Period,,Preceding_Period,,Year_to_date,,Same_Period_Year_ago,
,,Total Foreign Direct Investment (g.r.),159.6,(Q2 '13),86.9,(Q1 '13),126.9,(Jan-Jun '13),-43.7,(Q2 '12)
,,BOI Investment (g.r.),582.4,,-61.2,,351.8,,-24,
,,PEZA Investment (g.r.),-19.1,,157.1,,61.2,,-8.9,
,,SBMA Investment,-69.5,,-6.5,,-36.3,,27.6,
,,CDC Investment,40.7,,-97,,-62.6,,-96.4,
Employment (NSO-LFS) and Wages,A. Unemployment Rate (%) /f new definition,,7.3,(Jul'13),7.5,(Apr '13),7.3,(Jul'13),7,(Jul'12)
,B. Employment Generated ('000),,620,(Jul'13),-21,(Apr '13),620,(Jul'13),448,(Jul'12)
,,Agriculture,173,,-624,,173,,-462,
,,Industry,62,,224,,62,,g,
,,Service,383,,380,,383,,g,
,B. Underemployment Rate (%),,19.2,(Jul'13),19.2,(Apr '13),19.2,(Jul'13),22.8,(Jul'12)
,D. Minimum Wage (in pesos) (NWPC),NCR,419-456,(Sept '13),419-456,(Aug '13),419-456,(Sept '13),419-446,(Sept '12)
,,AOMM,205-349.5,,205-349.5,,205-349.5,,205-349.5,
,E. Index of Compensation Per Employee (QEI-NSCB),Nominal (1978=100),2327.5,(Q1 '13),2613.3,(Q4 '12),2327.5,(Q1 '13),2182.588052,(Q1 '12)
,,Constant (1978=100),111.2,(Q1 '13),127.1,(Q4 '12),111.2,(Q1 '13),107.6,(Q1 '12)
III. Monetary and Banking Sector (%),,,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
,A. Growth of U/KBs Outside Loans /a,,12.3,(July '13),13.3,(June '13),12.3,(July '13),15.2,(July'12)
,B. NPL to total loans ratio,,2.68,(June '13),2.8,(May '13),2.68,(June '13),3.01,(June '12)
,c. M3 Growth /b,,30.1,(July '13),20.3,(June '13),30.1,(July '13),8.7,(July '12)
IV. Prices ,A. Headline Inflation Rate (%) (NSO) /c,,2.1,(Aug '13),2.5,(July '13),2.8,(Jan - Aug '13),3.8,(Aug '12)
,,Food and Non-Alcoholic Beverages,1.8,,2.287348106,,2.4,,3.4,
,,Non-Food,1.2,,1.767068273,,2.1,,4,
,,NCR,-0.1,,1,,1.6,,4.4,
,,AONCR,2.7,,2.9,,3.1,,3.6,
,B. Core Inflation Rate (%) NSO /c,,1.9,(Aug '13),2.3,(July '13),3.1,(Jan - Aug '13),4.3,(Aug '12)
,"C. Lending Rate (Low, %)",,4.6,(Jul '13),4.7,(June 13),4.1,(Jan - July'13),5.7,Jul '12)
,,,Latest_Week,,Preceding_Week,,Year_to_date,,Same_Week_Month_Ago,
,D. BSP Overnight Borrowing Policy Rates (PR),,5.5,(17 Sept '13),5.5,(10 Sept '13),5.5,(17 Sept '13),5.75,(17 Sept '12)
,E. BSP Overnight Lending Policy Rates (RRP),,3.5,(17 Sept '13),3.5,(10 Sept '13),3.5,(17 Sept '13),3.75,(17 Sept '12)
,F. 91-Day T-Bill Rate (%),,0.589,(05 August 13),0.666,(01 July '13),0.324,(Jan-05 August 13),1.5,(06 August 12)
,"G. Forex (Average, P:$1)",,43.357,(25 Sep '13),43.74,(18 Sep '13),42.067,(Jan-25 Sep '13),41.741,(25 Sep '12)
,H. PSEi,,6461.38,(24 Sept '13),6344.14,(17 Sept '13),6545.1,(Jan-24 Sept '13),5325.6,(24 Sept '12)
V. External Accounts (BSP/NSO),,,Latest_Month/Quarter,,Preceding_Month/Quarter,,Year_to_date,,Same_Month/Quarter_Year_Ago,
,A. Merchandise Exports (% g.r.),,2.3,(July '13),4.1,(June '13),-3.4,(Jan-July '13),6.0,(July '12)
,,Electronic Products (% g.r.) /d,11.2,,-8.2,,-15.0,,9.6,
,B. Merchandise Imports (% g.r.),,8.7,(Jul '13),-4.8,(Jun '13),-2.0,(Jan-Jul '13),0.9,(Jul '12)
,,Raw materials & intermediate goods (% g.r.),34.7,,-2.8,,3.5,,-0.1,
,,Capital goods (% g.r.),-0.1,,-21.8,,-8.3,,10.7,
,C. Current Account($ M),,2484,(Q2 '13),3139,(Q1 '13),5623,(Jan-Jun '13),2276,(Q2 '12)
,D. Capital Accounts ($ M),,23.8948954,(Q2 '13),22.1353323,(Q1 '13),46.0302277,(Jan-Jun '13),30.0000000,(Q2 '12)
,E. Financial Account ($ M),,-127,(Q2 '13),-677,(Q1 '13),-804,(Jan-Jun '13),722,(Q2 '12)
,,"Direct Investments ($ M), net",139,,-1556,,-1417,,80,
,F. Balance of Payments ($ M),,-318,(Aug '13),1099,(Jul '13),3359,(Jan-Aug '13),582,(Aug '12)
,G. Gross International Reserves ($ M),,82891.3,(end-Aug '13),83172.1,(end Jul '13),82891.3,(end-Aug '13),80728.1,(end-Aug '12)
,,Month's worth of imports,12.0,,12.0,,12.0,,12.0,
,H. Total External Debt ($ M),,58009,(end Q2 '13),59046,(end Q1 '13),58009,(end Q2 '13),61231,(end Q2 '12)
,of which:,Total Short Term,9549,,9786,,9549,,7024,
,,Total Private Sector,16057,,16109,,16057,,14102,
,,,Latest_Month,,Preceding_Month,,Year_to_date,,Same_Month_Year_Ago,
VI. NG Cash Operations (BTr) (in billion pesos) *,A. Revenues,,144.6,Jul '13,131.1,Jun '13,984.1,(Jan-Jul '13),123.3,Jul '12
,,Tax,129.2,,113.3,,875.5,,109.0,
,,Non-tax,15.5,,17.8,,108.6,,14.3,
,B. Expenditure ,,197.8,,139.5,,1088.6,,162.6,
,C. Surplus (+) / Deficit (-) ,,-53.2,,-8.5,,-104.5,,-39.2,
,D. Net Foreign Financing ,,14.8,,-11.8,,-49.7,,0.4,
,E. Net Domestic Financing (PB) /e,,13.1,,66.0,,32.6,,37.9,
,F. Cash Build-up (-)/ Withdrawal (+) ,,25.3,,-45.8,,121.6,,1.0,
,,,,,,,,,,
,,,,,,,,,,
Note:,,,,,,,,,,
*      Details may not add up due to rounding,,,,,,,,,,
/a    the Indicator changed from Growth of Loans for ODCs to Loans of Universal/ Commercial Banks as the BSP revised their series. Loans of U/KB is Gross of RRP,,,,,,,,,,
"        The old series covered all Other Depository Corporations that included, apart from universal/commercial banks, thrift banks and rural banks.",,,,,,,,,,
/b    based on Depository Corporations Survey,,,,,,,,,,
/c    (2006=100),,,,,,,,,,
"/d   expanded electronics coverage which includes semi-conductors, electronic data processing, office equipment, consumer electronics, telecommunication, ",,,,,,,,,,
"        communication/radar, control and instrumentation, medical/industrial instrumentation and automotive electronics.",,,,,,,,,,
/e   net of non-budgetary accounts,,,,,,,,,,
"/f    starting April 2005, LFS adopts the new definition of unemployment",,,,,,,,,,
"/g   can not be computed due to changes in the industry classification. Starting January 2012 Labor Force Survey (LFS), the codes for industry adopted the 2009 Philippine Standard Industrial Classification (PSIC).  Prior to this, codes for industry used the 1994 PSIC.",,,,,,,,,,
"/h   NEDA recommends not to compare the results of the October 2011 round of the LFS against other rounds because of the different definition of work adopted in the former. Thus, to assess the employment creation in October 2012, NEDA recommends to compare the October 2012 against the Oct 2010 instead, that is, the difference between October 2012 and October 2011, which is 1.2 million, and divided equally between the two years""",,,,,,,,,,
