particulars_1,particulars_2,ldrrmf_qrf_30_percent,ldrrmf_mitigation_fund_70_percent,source_from_performance_challenge_fund,total
Sources of Fund,2014 Appropriation,3815161.5,8902043.5,-,12717205
Sources of Fund,2013 Appropriation,-,3597847.7,-,3597847.7
Sources of Fund,2012 Appropriation,-,3020328.92,57936.5,3078265.42
Sources of Fund,Total Funds Available,3815161.5,15520220.12,57936.5,19393318.12
Utilization,Medicines,-,-,-,-
Utilization,Food Supplies,-,139760,-,139760
Utilization,Supplies,-,-,-,-
Utilization,Training,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-
Utilization,Equipment,-,2050000,-,2050000
Utilization,Infrastructure Projects,-,1219965.05,-,1219965.05
Utilization,Other Operating Expenses,-,461224.75,-,461224.75
Utilization,Total Utilization,-,3870949.8,-,3870949.8
Utilization,Unutilized,3815161.5,11649270.32,57936.5,15522368.32
