Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Fund_Source,Loan_Type,IA,Region,BD_NBD,Sector,Subsector,Subsubsector,Main_Region,Region,MultiRegion,Fin_Year_ID,AllFinInfo_LoanID,Reporting_Date,MaxReport_Date,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulativ_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Max_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
1224P,Second Cordillera Highland Agricultural Resource Management Project,FALSE,FALSE,OTHERS,OFID,Project,DA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,LUZON,CAR,"Abra,Apayao,Benguet,Ifugao,Kalinga,Mt. Province",1091,1224P,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00%,0.00,0.70,10.00,10.00,0.00%,0.70,0.00,0.00%,12/17/08,7/31/13,7/31/14,7/31/14,2/4/09,5.49,0.90,-4.58,16.48%,0.00%,10.00,16.48%,Ongoing
1225P,Agrarian Reform Communities Project II,FALSE,FALSE,OTHERS,OFID,Project,DAR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Agrarian Reform,MULTI-REGIONAL,Multi-Regional,"II,III,IVA,IVB,V,VII,IX,X,XI",1090,1225P,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00%,0.00,1.80,30.00,30.00,0.00%,1.80,0.00,0.00%,12/17/08,12/31/13,,12/31/13,3/4/09,4.83,0.83,-4.00,17.13%,0.00%,30.00,17.13%,Ongoing
1668-PHI,Southern Philippine Irrigation Sector Project,TRUE,TRUE,ADB,ADB,Project,NIA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,MULTI-REGIONAL,Multi-Regional,"VI, VII, XIII, CARAGA, ARMM",1041,1668-PHI,12/31/09,12/31/11,2.24,0.71,0.87,2.55,6.37,1.30,1.80,1.10,1.50,5.70,0.00,0.00,0.00,0.00,0.00,18.90,18.90,111.79%,47.77,57.21,60.00,60.00,83.49%,9.45,0.00,33.71%,3/1/99,6/30/06,6/30/11,6/30/11,10/29/99,11.68,10.18,-1.50,87.19%,79.61%,12.23,7.58%,Ongoing
1746-PHI,Pasig River Envi. Mngmt & Rehab Sector Dev't Program,TRUE,FALSE,ADB,ADB,Project,PRRC,GOCC,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,Environment,LUZON,NCR,NCR,1042,1746-PHI,12/31/09,12/31/09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,12.00,11.97,-0.03,0.00%,63.00,63.00,75.00,63.00,100.00%,0.00,12.00,0.00%,7/21/00,1/31/06,3/5/09,3/5/09,8/17/00,8.55,9.38,0.83,109.64%,100.00%,0.00,9.64%,Closed
1746-PHI,Pasig River Envi. Mngmt & Rehab Sector Dev't Program,TRUE,FALSE,ADB,ADB,Project,PRRC,GOCC,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,Environment,LUZON,NCR,NCR,1042,1746-PHI,12/31/09,12/31/09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,12.00,11.97,-0.03,0.00%,63.00,63.00,75.00,63.00,100.00%,0.00,12.00,0.00%,7/21/00,1/31/06,3/5/09,3/5/09,8/17/00,8.55,9.38,0.83,109.64%,100.00%,0.00,9.64%,Closed
1772-PHI,Infrastructure for Rural Productivity  Enhancement Sector,TRUE,TRUE,ADB,ADB,Project,DA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Support Services,MULTI-REGIONAL,Multi-Regional,"IV, V, VIII, IX, X, XI, XII, XIII, ARMM",1044,1772-PHI,12/31/09,12/31/12,2.01,2.19,2.63,6.66,13.50,1.50,2.00,2.00,2.50,8.00,0.00,0.00,0.00,0.00,0.00,49.37,49.37,168.71%,39.12,63.07,75.00,75.00,62.03%,23.95,0.00,27.34%,10/22/01,6/30/08,8/16/12,8/16/12,2/4/02,10.54,7.91,-2.63,75.07%,52.17%,35.88,22.90%,Ongoing
1843-PHI,Mindanao Basic Urban Services Sector,TRUE,FALSE,ADB,ADB,Project,LBP,GFI,FALSE,Infrastructure,Social Infrastructure,Urban Community Infrastructure,MINDANAO,Mindanao Wide,"IX, X, XI, XII, CARAGA, ARMM",1045,1843-PHI,12/31/09,12/31/09,0.13,0.00,0.00,-0.11,0.03,2.02,1.11,2.76,1.84,7.72,0.00,0.00,9.27,4.33,13.60,3.91,-9.69,0.35%,19.53,19.53,33.14,19.53,100.00%,0.00,13.60,-0.28%,5/15/02,6/30/08,11/18/09,11/18/09,9/13/02,7.19,7.30,0.12,101.64%,100.00%,0.00,1.64%,Ongoing
1984-PHI,Electricity Market and Transmission Development Project,FALSE,FALSE,ADB,ADB,Project,TRANSCO,GOCC,FALSE,Infrastructure,"Energy, Power and Electrification",Power Generation and Transmission,NATIONWIDE,Nationwide,Nationwide,1046,1984-PHI,12/31/09,12/31/09,0.97,2.52,0.38,0.00,3.87,0.88,2.55,0.00,0.00,3.43,0.00,0.00,0.00,4.41,4.41,8.28,3.87,112.74%,35.59,35.59,40.00,35.59,100.00%,0.00,4.41,100.00%,12/16/03,6/30/09,8/3/09,8/3/09,3/9/04,5.41,5.82,0.41,107.60%,100.00%,0.00,7.60%,Closed
200665240,Provincial Towns Water Supply Programme III,TRUE,FALSE,Others,Germany,Project,LWUA,GOCC,FALSE,Infrastructure,Water Resources,,NATIONWIDE,Nationwide,,1306,200665240,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,14.30,14.30,0.00%,0.00,0.00,0.00%,6/30/09,12/31/13,,12/31/13,3/28/11,2.76,-1.24,-4.00,-44.80%,0.00%,14.30,-44.80%,Newly Signed
2063-PHI,Development of Poor Urban Communities Sector Project,FALSE,FALSE,ADB,ADB,Project,DBP,GFI,FALSE,Social Reform and Community Development,Shelter and Urban Development,Social Infrastructure,NATIONWIDE,Nationwide,Nationwide,1047,2063-PHI,12/31/09,12/31/10,2.25,0.18,0.00,0.23,2.66,0.79,2.78,5.72,4.69,13.98,0.00,0.00,0.00,0.00,0.00,21.85,21.85,19.03%,12.92,32.77,34.43,34.43,39.44%,19.84,0.00,12.17%,12/22/03,4/20/10,6/10/10,6/10/10,4/21/04,6.14,5.70,-0.44,92.82%,37.54%,21.51,55.28%,Ongoing
