particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_services,total
Balance Last Quarter,Balance Last Quarter,Balance Last Quarter,-,-,-,-,17927405.81
Balance Last Quarter,Food Supplies Expenses,2233314,805000,-,-,-,3038314
Balance Last Quarter,Water Expenses,-,5392,-,-,-,5392
Balance Last Quarter,Other Professional Services,-,604213.74,-,-,-,604213.74
Balance Last Quarter,Other MOOE,650000,12000,-,-,-,662000
Balance Last Quarter,R/M-Motor Vehicle,-,288829.58,-,-,-,288829.58
Balance Last Quarter,R/M-Watercraft,-,20892,-,-,-,20892
Balance Last Quarter,"Gasoline, Oil and Lubricants Expenses",-,49999.56,-,-,-,49999.56
Balance Last Quarter,Other Supplies  Expenses,-,77800,-,-,-,77800
Balance Last Quarter,Travelling Expenses,-,22380,-,-,-,22380
Balance Last Quarter,Office Supplies Expenses,-,36480,-,-,-,36480
Balance Last Quarter,Security Services,-,142405.31,-,-,-,142405.31
Balance Last Quarter,Electricity Expenses,-,26615.08,-,-,-,26615.08
Balance Last Quarter,Representation Expenses,-,74855,-,-,-,74855
Balance Last Quarter,Donations,-,100000,-,-,-,100000
Balance Last Quarter,IT Equipment and Software,-,43950,-,-,-,43950
Balance Last Quarter,R/M- Communication Equipment,-,47265,-,-,-,47265
Balance Last Quarter,Construction of Evacuation Center,-,333500,-,-,-,333500
Total Utilization,Total Utilization,2883314,2691577.27,-,-,-,5574891.27
Unutilized Balance,Unutilized Balance,8368464,3984050.54,-,-,-,12352514.54
