particulars_1,particulars_2,particulars_3,particulars_4,code,amount,total_amount
Calamity Fund Balance 3rd Quarter,Calamity Fund Balance 3rd Quarter,Calamity Fund Balance 3rd Quarter,Calamity Fund Balance 3rd Quarter,-,-,195225603.9
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Travelling Expense,751,5490,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Training Expense,753,22495,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Office Supplies Expenses,755,480950.72,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Food Supplies Expenses,758,1373265,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,"Gasoline, Oil and Lubricant Expenses",761,215839.07,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Other Supplies Expenses,765,7400,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Representation Expenses,783,83400,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Security Services,797,201250,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Other Professional Services,799,646317.33,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,R/M- Other Machines and Equipment,840,20084.1,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,R/M- Vehicle,841,41166.62,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,R/M- Watercraft,844,9715.93,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Insurance Expenses,893,13375,-
Less-Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Other MOOE,969,14000,-
Less-Disbursement,Pre-Disaster Preparedness Program,Capital Outlay,IT Equipment and Software,223,96000,3231349.27
Less-Disbursement,Balance of Calamity Fund,Balance of Calamity Fund,Balance of Calamity Fund,-,-,162942254.7
