particulars_1,particulars_2,ldrrmf_quick_response_fund_(qrf)_30%,ldrrmf_mitigation_fund_70%,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,12729861.6,27924621.77,-,-,-,40654483.37
Sources of Funds,Continuing Appropriations,-,6819442.79,-,-,-,6819442.79
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,7958386.63,-,-,-,7958386.63
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,12729861.6,42702451.19,-,-,-,55432312.79
Utilization,Other Professional Expenses,-,384882.29,-,-,-,384882.29
Utilization,Water Expenses,-,10178,-,-,-,10178
Utilization,Electricity Expenses,-,26353.45,-,-,-,26353.45
Utilization,Security Services,-,160250,-,-,-,160250
Utilization,Other MOOE,-,74790,-,-,-,74790
Utilization,Travelling Expenses,-,3360,-,-,-,3360
Utilization,Representation Expenses,-,491050,-,-,-,491050
Utilization,"Gasoline, Oil and Lubricants Exp",-,196194.79,-,-,-,196194.79
Utilization,Other Public Infastructures,-,3291698.38,-,-,-,3291698.38
Utilization,Office Supplies Expenses,-,414995,-,-,-,414995
Utilization,R/M-Motor Vehicle,-,4620,-,-,-,4620
Utilization,Janitorial Services,-,7750,-,-,-,7750
Utilization,R/M-IT Equipment and Software,-,28500,-,-,-,28500
Utilization,R/M-Watercraft,-,32349,-,-,-,32349
Utilization,Communication Equipment,-,492400,-,-,-,492400
Utilization,Total Utilization,-,5619370.91,-,-,-,5619370.91
Utilization,Unutilized Balance,12729861.6,37083080.28,-,-,-,49812941.88
