particulars_1,particulars_2,particulars_3,particulars_4,code,amount,total_amount
Calamity Fund Balance 2nd Quarter,Calamity Fund Balance 2nd Quarter,Calamity Fund Balance 2nd Quarter,Calamity Fund Balance 2nd Quarter,-,-,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Office supplies Expenses,755,3500,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Drug and Medicine Expenses,759,4828720,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,"Gasoline, Oil and Lubricants Expenses",761,85450.59,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Agricultural Supplies Expenses,762,64500,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Other Supplies Expenses,765,75700,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Representation Expenses,783,106050,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Security Services,797,161000,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Other Professional Services,799,649822.29,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,R/M-Motor Vehicles,841,56030,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Subsidy to LGU,874,500000,-
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Operating Expenes,Donations,878,1218199,-
Less-Disbursements,Pre-Disaster Preparedness Program,Capital Outlay,Other Structures (Evacutaion Center),-,2017688,9766959.88
Less-Disbursements,Pre-Disaster Preparedness Program,Balance,Balance,-,-,19525603.93
