month,particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
November,Sources of Funds,Current,5027971.7,7034498.42,-,-,-,12062470.12
November,Sources of Funds,Continuing,-,5858122.91,-,-,-,5858122.91
November,Total Funds Available,Total Funds Available,5027971.7,12892621.33,-,-,-,17920593.03
November,Utilization,Other Maintenance and Operating Expense,79025,1585,-,-,-,80610
November,Utilization,Training Expense,-,1117.16,-,-,-,117.16
November,Utilization,Food Supplies Expenses,583029,-,-,-,-,583029
November,Utilization,Furniture and Fixtures,-,12794,-,-,-,12794
November,Utilization,"Irrigation, Canal and Laterals",-,339573.91,-,-,-,339573.91
November,Total Utilization,Total Utilization,662054,355070.07,-,-,-,1017124.07
November,Unutilized Balance,Unutilized Balance,4365917,12537651.26,-,-,-,16903468.96
December,Sources of Funds,Current,4365917.7,6679428.35,-,-,-,11045346.05
December,Sources of Funds,Continuing,-,5858122.91,-,-,-,5858122.91
December,Total Funds Available,Total Funds Available,4365917.7,12537651.26,-,-,-,16903468.96
December,Utilization,Drugs and Medicine Expenses,20820,-,-,-,-,20820
December,Utilization,Other Supplies Expenses,17314,-,-,-,-,17314
December,Utilization,Other Maintenance and Operating Expense,1790.9,-,-,-,-,1790
December,Utilization,Training Expense,-,13792,-,-,-,13792
December,Utilization,Office Supplies,-,1260,-,-,-,1260
December,Utilization,"Gassoline, Oil and Lubricants Expense",-,1982.33,-,-,-,1982.33
December,Utilization,Rent Expenses,-,59000,-,-,-,59000
December,Utilization,IT Equipment,-,28756,-,-,-,28756
December,Utilization,Other Public Infrastructure,-,5445773.98,-,-,-,5445773.98
December,Total Utilization,Total Utilization,-,39924.9,5550564.31,-,-,5590489.21
December,Unutilized Balance,Unutilized Balance,-,4325992.8,6986986.95,-,-,11312979.75
