particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current,3670905.9,6447247.93,-,-,-,10118153.83
Sources of Funds,Continuing ,-,696314,-,-,-,696314
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Total Funds Available,Total Funds Available,3670905.9,7143561.93,-,-,-,10814467.83
Utilization,Medicines,159467.96,-,-,-,-,159467.96
Utilization,Food Supplies,729544,-,-,-,-,729544
Utilization,Other Supplies Expenses,54290,-,-,-,-,54290
Utilization,Donation,100000,-,-,-,-,100000
Utilization,Other Maintenance and Operating Exp,-,5014.05,-,-,-,5014.05
Utilization,Construction of Slope Protection with Concrete Facing at Binanowan,-,327397.93,-,-,-,327397.93
Utilization,Trainings ,-,510,-,-,-,510
Utilization,Rent Expense,-,15000,-,-,-,15000
Utilization,"Gasoline, Oil and Lubricants Expense",52701.33,42423.04,-,-,-,95124.37
Utilization,General Services,-,15000,-,-,-,15000
Utilization,General Services-CBMS,-,37400,-,-,-,37400
Total Utilization,Total Utilization,1096003.29,442745.02,-,-,-,1538748.31
Unutilized Balance,Unutilized Balance,2574902.61,6700816.91,-,-,-,9275719.52
