particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current,6151712.04,13261719.45,-,-,-,19413431.49
Sources of Funds,Continuing ,-,862919.94,-,-,-,862919.94
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Total Funds Available,Total Funds Available,6151712.04,14124639.39,-,-,-,20276351.43
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings ,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Flood Controls,-,1703833.43,-,-,-,-
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Utilization,"Gasoline, Oil and Lubricants Expense",-,308.47,-,-,-,308.47
Utilization,General Services,-,21000,-,-,-,21000
Total Utilization,Total Utilization,-,1725141.9,-,-,-,21308.47
Unutilized Balance,Unutilized Balance,6151712.04,12399497.49,-,-,-,18551209.53
