particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current,5462526.3,12745894.7,-,-,-,18208421
Sources of Funds,Continuing,-,9513435.99,-,-,-,9513435.99
Total Funds Available,Total Funds Available,5462526.3,22259330.69,-,-,-,27721856.99
Utilization,Telephone Expenses - Landline,-,599,-,-,-,599
Utilization,Emergency Repair of Bridge abbutment at Pandan,-,146701.35,-,-,-,146701.35
Utilization,Emergency Rechannelling of cut-off channel at Binanowan,-,507259.5,-,-,-,507259.5
Utilization,Emergency Repair of Slope Protection and Irrigation Canal at Barayang,-,209474.56,-,-,-,209474.56
Utilization,Reinforcement or Construction of dike at Bonga,-,949293.79,-,-,-,949293.79
Utilization,"Emergency Repair of 36 km protective dike at Sitio Lobos, Pandan",-,360809.22,-,-,-,360809.22
Utilization,Emergency Repair of Canal Line ,-,90319.6,-,-,-,90319.6
Utilization,Construction of Slope Protection for Solar dryer at Binatagan River,-,278500.77,-,-,-,278500.77
Utilization,Installation of Flume at Binatagan River,-,342183,-,-,-,342183
Utilization,"Construction of reinforced concrete water tank at Sitio Gua, Pandan",-,194338,-,-,-,194338
Utilization,Emergency replacement of box culvert at Pandan,-,253854.71,-,-,-,253854.71
Total Utilization,Total Utilization,-,3333333.5,-,-,-,3333333.5
Unutilized Balance,Unutilized Balance,5462526.3,18925997.19,-,-,-,24388523.49
Sources of Funds,Current,5462526.3,12745295.7,-,-,-,18207822
Sources of Funds,Continuing,-,6180701.49,-,-,-,6180701.49
Total Funds Available,Total Funds Available,5462526.3,18926997.19,-,-,-,24388523.49
Utilization,Telephone Expenses - Landline,-,599,-,-,-,599
Utilization,Emergency Repair of Bailey Bridge floor deck at Busac,-,169885.07,-,-,-,169885.07
Utilization,Emergency Construction of Irrigation Canal at Pandan,-,694333.48,-,-,-,694333.48
Utilization,Emergency Repair of Slope Protection at Amtic Elementary School Site,-,517576.09,-,-,-,517576.09
Total Utilization,Total Utilization,-,1382393.64,-,-,-,1382393.64
Unutilized Balance,Unutilized Balance,6462526.3,17543603.55,-,-,-,23006129.85
Sources of Funds,Current,5462526.3,12744696.7,-,-,-,18207223
Sources of Funds,Continuing,-,4798906.85,-,-,-,4798906.85
Total Funds Available,Total Funds Available,5462526.3,17543603.55,-,-,-,23006129.85
Utilization,Medicines,-,-,-,-,-,-
Utilization,Telephone Expenses - Landline,-,-,-,-,-,-
Utilization,4 Units Portable Radio or License Fee,-,-,-,-,-,-
Utilization,Construction of Slope Protection with fenceat Amtic Elementary National High School,-,-,-,-,-,-
Utilization,"Construction of reinforced concrete water tank at Sitio Gua, Pandan",-,-,-,-,-,-
Utilization,Emergency repair of consolidation dam at Binanowan,-,-,-,-,-,-
Total Utilization,Total Utilization,-,1784893.65,-,-,-,1784893.65
Unutilized Balance,Unutilized Balance,5462526.3,16768709.9,-,-,-,21221236.2
