particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current,5462526.3,9463346.35,-,-,-,14925872.65
Sources of Funds,Continuing,-,421441.11,-,-,-,421441.11
Total Funds Available,Total Funds Available,5462526.3,9884787.46,-,-,-,15347313.76
Utilization,Training Expenses,-,71760,-,-,-,71760
Utilization,Office Supplies,-,780,-,-,-,780
Utilization,Other Supplies Expenses,-,37145,-,-,-,37145
Utilization,Telephone Expenses,-,599,-,-,-,599
Utilization,Other Maintenance and Operating Expense,-,38400,-,-,-,38400
Total Utilization,Total Utilization,-,148684,-,-,-,148684
Untilized Balance,Untilized Balance,6462526.3,9736103.46,-,-,-,15198629.76
