particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Fund,Sources of Fund,6151712.04,14352617.56,-,-,-,20504329.6
Sources of Fund,Continuing ,-,1497355.17,-,-,-,1497355.17
Sources of Fund,Previous Year's Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Fund,Transfers or Grants,-,-,-,-,-,-
Total Funds Available,Total Funds Available,6151712.04,16849972.73,-,-,-,22001684.77
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,25680,-,-,-,25680
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to other LGU's,-,-,-,-,-,-
Utilization,"Gasoline, Oil and Lubricants Expenses",-,1993.48,-,-,-,1993.48
Utilization,General Services,-,18000,-,-,-,18000
Total Utilization,Total Utilization,-,45673.48,-,-,-,45673.48
Unutilized Balance,Unutilized Balance,6151712.04,15804299.25,-,-,-,21956011.29
