particulars_1,particulars_2, ldrrmf_quick_response_fund_30_percent, ldrrmf_migitation_fund_70_percent , ndrrmf , from_other_lgus , from_other_sources , total 
Sources of Funds,Current Appropriation,33387060.63,77903141.47,-,-,-,111290202.1
Sources of Funds,Continuing Appropriation,-,53671470.74,-,-,-,53671470.74
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,26603715.5,18805364.79,-,-,-,45409080.29
Sources of Funds,Transfers/Grants,-,-,-,-,-,-
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,98000,-,-,-,-,98000
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,8000,-,-,-,8000
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Financial Assistance,24499500,-,-,-,-,24499500
Utilization,Improvement of Public Infrastructures,-,29438609.31,-,-,-,29438609.31
Unutilized Balance,Unutilized Balance,35393276.13,120933367.7,-,-,-,156326643.8
