function,program,project,account_code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
Housing and Community Development (20% Development Fund),-,-,-,-,-,-,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,-,-,-,-,-,-,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,-,751-969,1150000,287500,-,862500,287500
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,Traveling Expenses- Local,751,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,Other Supplies Expenses,765,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,Advertising Expenses,780,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,Representation Expenses,783,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,Subsidy to Local Government Units,874,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,Subsidy to Non Government Organizations,876,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,Donations,878,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,-,751-969,1000000,250000,-,750000,250000
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Other Supplies Expenses,765,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program,-,751-969,1500000,750000,-,750000,76315
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program,Professional Services,795,-,-,196130,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program,"Electrification, Power and Energy Structures",805,-,-,477555,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio-Economic and Environmental Development Thru Good Governance,-,751-969,800000,200000,-,600000,200000
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio-Economic and Environmental Development Thru Good Governance,Advertising Expenses,780,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio-Economic and Environmental Development Thru Good Governance,Printing and Binding Expenses,781,-,-,0,-,-
