function,program,project,account_code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
Housing and Community Development (20% Development Fund), -,-,-,-,-,-,-,-
Maintenance and other operating Expenses 2012 20% Development Fund, -,-,-,-,-,-,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,-,751-969,609500,609500,0,0,609500
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,-,751-969,1400000,1400000,-,0,287776.26
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Traveling Expenses,751,-,-,14840,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Training Expenses,753,-,-,20500,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Supplies and Materials Expenses,755,-,-,47269.5,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Other Supplies Expenses,765,-,-,8600,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Printing and Binding Expenses,781,-,-,5000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Rent Expenses,782,-,-,1500,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Representation Expenses,783,-,-,233694.05,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,General Services,795,-,-,693619.14,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,R/M- Building,811,-,-,70285.7,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Other Maintenance and Operating Expenses,969,-,-,16915.35,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program ,-,751-969,3055000,3055000,-,0,0.56
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program ,"Gasoline, Oil and Lubricants Expenses",761,-,-,37066.74,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program ,General Services,795,-,-,838850,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program ,Electrification Power and Energy Structures,805,-,-,2179082.7,-,-
