function,program,project,account_code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
Housing and Community Development (20% Development Fund),-,-,-,-,-,-,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,-,-,-,-,-,-,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,-,751-969,1150000,575000,0,575000,575000
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,-,751-969,1000000,500000,-,500000,500000
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Other Supplies Expenses,765,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program,-,751-969,1500000,1500000,-,0,658225
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program,ProfessionaSl ervices,795,-,-,354470,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program,"Electrification, Power and Energy Structure",805,-,-,487305,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio-Economic and Environmental Development Thru Good Governance,-,751-969,800000,400000,-,400000,400000
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio-Economic and Environmental Development Thru Good Governance,AdvertisingE xpenses,780,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio-Economic and Environmental Development Thru Good Governance,Printing and Binding Expense,781,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agiricultural Development Program,-,751-969,4700000,2350000,-,2350000,1284674.8
Maintenance and other operating Expenses 2012 20% Development Fund,Agiricultural Development Program,Training Expenses,753,-,-,10000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agiricultural Development Program,Office Supplies Expenses,755,-,-,2161.8,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agiricultural Development Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,106440,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agiricultural Development Program,Agricultural Supplies Expenses,762,-,-,761225,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agiricultural Development Program,Other Supplies Expenses,765,-,-,89268.4,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agiricultural Development Program,General Services,795,-,-,61230,-,-
