function,program,project,account_code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
Housing and Community Development (20% Development Fund), -,-,-,-,-,-,-,-
Maintenance and other operating Expenses 2012 20% Development Fund, -,-,-,-,-,-,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Urban Poor Amelioration Program,-,751-969,1150000,862500,0,287500,862500
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,-,751-969,1000000,750000,-,250000,349690
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,Representation Expenses,783,-,-,195300,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Social Welfare Services Program,General Services,795,-,-,205010,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Public Safety and Protection Program ,-,751-969,1500000,1500000,-,0,426618.26
-,"Gasoline, Oil and Lubricants",-,761,-,-,4966.74,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,"Gasoline, Oil and Lubricants",General Services,795,-,-,562010,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,"Gasoline, Oil and Lubricants",Electrification Power and Energy Structures,805,-,-,506405,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio - Economic and Environmental Development Thru Good Governance,-,751-969,800000,600000,-,200000,600000
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio - Economic and Environmental Development Thru Good Governance,Advertising Expenses,780,-,-,0,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Sustaining Socio - Economic and Environmental Development Thru Good Governance,Printing and Binding Expenses,781,-,-,0,-,-
-,Agricultural Development Program,-,751-969,4700000,3525000,-,1175000,1449924.8
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Training Expenses,753,-,-,10000,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Office Supplies Expenses,755,-,-,2161.8,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,"Gasoline, Oil and Lubricants Expenses",761,-,-,106440,-,-
Maintenance and other operating Expenses 2012 20% Development Fund,Agricultural Development Program,Agricultural Supplies Expenses,762,-,-,911225,-,-
