particulars_1,particulars_2,amount_available,amount_utilized,amount_balance
Fund Allocation (5% of Estimate Revenue),Fund Allocation (5% of Estimate Revenue),-,-,-
Expense Incurred,Expense Incurred,-,-,-
30% Quick Response Fund (QRF),30% Quick Response Fund (QRF),8425843.06,2998036,5427807.06
70% Mitigation Fund (MF),70% Mitigation Fund (MF),11335420.79,-,7894802.97
MOOE,Conduct 10 Years Solid Waste Management Fund,-,-,-
MOOE,Insurance Premium (Volunteers),-,-,-
Capital Outlay,Flood Control and Drainage System,-,1799462.82,-
Capital Outlay,Acquisition of Relocation Site,-,-,-
Capital Outlay,River Protection Dike Palusapis St.,-,-,-
Capital Outlay,Quick Response Rescue Vehicle with Complete Equipment and Accessories,-,-,-
Capital Outlay,Rapid Assessment Vehicle,-,1641155,-
Capital Outlay,Fire Hydrant,-,-,-
Total,Total,19761263.85,6438653.82,13322610.03
