particulars_1,particulars_2,particulars_3,balance,general_fund
Payment for Repairs and Maintenance of Other Property and Equipment,Payment for Repairs and Maintenance of Other Property and Equipment,Payment for Repairs and Maintenance of Other Property and Equipment,94642.87,-
Payment for Repairs and Maintenance of Transportatio and Equipment,Payment for Repairs and Maintenance of Transportatio and Equipment,Payment for Repairs and Maintenance of Transportatio and Equipment,750081.82,-
Payment for Taxes Premuim and Other Fees,Payment for Taxes Premuim and Other Fees,Payment for Taxes Premuim and Other Fees,111516.1,-
Payment for Training Expenses,Payment for Training Expenses,Payment for Training Expenses,844100,-
Payment for Utility Expenses,Payment for Utility Expenses,Payment for Utility Expenses,2023504.83,-
"Payment of Allowance, Bonus and Other Compensation","Payment of Allowance, Bonus and Other Compensation","Payment of Allowance, Bonus and Other Compensation",951514.57,-
Payment of Loan Amortization,Payment of Loan Amortization,Payment of Loan Amortization,30344.29,-
Payment of Salary and Wages and Other Compensation,Payment of Salary and Wages and Other Compensation,Payment of Salary and Wages and Other Compensation,19490.15,-
Refund of Guaranty Deposit/Retention Fee,Refund of Guaranty Deposit/Retention Fee,Refund of Guaranty Deposit/Retention Fee,2145478.17,-
Remittance of Authorized Deduction Withheld on Employeee (Employee Share),Remittance of Authorized Deduction Withheld on Employeee (Employee Share),Remittance of Authorized Deduction Withheld on Employeee (Employee Share),7937955.55,-
"Remittance of Taxes With held from Suppliers, Contractors and Other Creditors/Refunds of Over With Held","Remittance of Taxes With held from Suppliers, Contractors and Other Creditors/Refunds of Over With Held","Remittance of Taxes With held from Suppliers, Contractors and Other Creditors/Refunds of Over With Held",3796849.62,-
"Tranfer of Funds to Other Funds/NGAs, GOCCs, LGUs, NGOs/Pos for Implementation of Project","Tranfer of Funds to Other Funds/NGAs, GOCCs, LGUs, NGOs/Pos for Implementation of Project","Tranfer of Funds to Other Funds/NGAs, GOCCs, LGUs, NGOs/Pos for Implementation of Project",6110.47,-
Total Cash Outflows,Total Cash Outflows,Total Cash Outflows,-,126384268.2
Cash Provided by Operating Activities,Cash Provided by Operating Activities,Cash Provided by Operating Activities,-,67170272.34
Cash Flow from Investment Activities,Cash Outflows,Cash Payment for Program Billing of Contractor for Construction for Agency Assets,9210137.1,-
Cash Flow from Investment Activities,Cash Outflows,Cash Payment for Program Billing of Contractor for Construction for P{ublic - Infrastructures,14778454.64,-
Cash Flow from Investment Activities,Cash Outflows,Liquidation of Cash Advances by Disbursement Officer,162720,-
Cash Flow from Investment Activities,Cash Outflows,"Payment for Purchase of Property, Plant and Equipment",8103940.89,-
Cash Flow from Investment Activities,Cash Outflows,Total Cash Outflows,-,32266252.63
Cash Provided by Investing Activities,Cash Provided by Investing Activities,Cash Provided by Investing Activities,-,32266252.63
Cash Providing by Financial Activities,Cash Providing by Financial Activities,Cash Providing by Financial Activities,-,0
"Total Cash Provided by Operating, Investment, Financial Activities","Total Cash Provided by Operating, Investment, Financial Activities","Total Cash Provided by Operating, Investment, Financial Activities",-,34915019.71
"Add: Cash Balance Beginning July 1, 2013","Add: Cash Balance Beginning July 1, 2014","Add: Cash Balance Beginning July 1, 2015",-,266609127.1
"Cash Balance Ending September 30, 2013","Cash Balance Ending September 30, 2014","Cash Balance Ending September 30, 2015",-,301524148.4
Cash Flow from Operating Activities,Cash Inflows,Other Manual Transacrions,52400,-
Cash Flow from Operating Activities,Cash Inflows,Cancellation of Checks,78982.1,-
Cash Flow from Operating Activities,Cash Inflows,Collection of Business Income,3980476.86,-
Cash Flow from Operating Activities,Cash Inflows,Collection of Local Term,2852057.06,-
Cash Flow from Operating Activities,Cash Inflows,Collection of Other Income,184963743.8,-
Cash Flow from Operating Activities,Cash Inflows,Collection of Permits and Licenses,494710.66,-
Cash Flow from Operating Activities,Cash Inflows,Collection of Real Property Tax,367684.21,-
Cash Flow from Operating Activities,Cash Inflows,Collection of Service Income,598773.15,-
Cash Flow from Operating Activities,Cash Inflows,Receipt of Funds for Implementation of Project/Financial Assistance from other LGUs,92156.23,-
Cash Flow from Operating Activities,Cash Inflows,Refund Cash Advance,73656.53,-
Cash Flow from Operating Activities,Cash Inflows,Total Cash Inflow,-,193554540.6
Cash Flow from Operating Activities,Cash Outflows,Grant of Cash Advance/Petty Cash Fund,6087741.64,-
Cash Flow from Operating Activities,Cash Outflows,Grant of Subsidee and Donations,3648000,-
Cash Flow from Operating Activities,Cash Outflows,Liquidation of Cash Advances by Disbursing Officer,12523722.99,-
Cash Flow from Operating Activities,Cash Outflows,Liquidation of Petty Cash Fund,45000,-
Cash Flow from Operating Activities,Cash Outflows,Payment/Reimbursement of Expenses,1381876.86,-
Cash Flow from Operating Activities,Cash Outflows,Payment for Account Payable,106794.17,-
Cash Flow from Operating Activities,Cash Outflows,Payment for Advances to Constractors,2698078.25,-
Cash Flow from Operating Activities,Cash Outflows,Payment of Communication Expenses,266518.69,-
Cash Flow from Operating Activities,Cash Outflows,Payment for Inter-Agency Payable,59088.61,-
Cash Flow from Operating Activities,Cash Outflows,Payment for Other Maintenance and Other Operating Expenses,6705727.46,-
Cash Flow from Operating Activities,Cash Outflows,Payment for Prepaid Expenses,10578.31,-
