particulars_1,particulars_2,ldrrmf_quick_response_fund_qrs_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Soource of Fund,Current Appropriation,402100.58,938234.67,-,-,-,
Soource of Fund,Continuing Appropriation,-,8291203.12,-,-,-,
Soource of Fund,Previous Year's Appropriation Transferred to the Special Trust Fund,-,-,-,-,-,
Soource of Fund,Transfer Grants,-,-,-,-,-,
Soource of Fund,Total Funds Available,492100.58,9229437.79,-,-,-,
Utilization,Medicine,-,-,-,-,-,
Utilization,Food Supplies,-,-,-,-,-,
Utilization,Reapir of Evacuation Center,-,-,-,-,-,
Utilization,Gasoline for Pump Boat,-,11032.78,-,-,-,
Utilization,Office Supplies,-,8635.1,-,-,-,
Utilization,Trainings,-,49419.41,-,-,-,
Utilization,Constrcution of Evacuation Center,-,-,-,-,-,
Utilization,Equipment,-,-,-,-,-,
Utilization,Transfer to other LGU's,-,-,-,-,-,
Utilization,Total Utilization,-,69097.29,-,-,-,
Unutilized Balance,Unutilized Balance,402100.58,9160350.5,-,-,-,
